Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
40.0,,,0.0,0.0,0.0
40.2,,,0.0,0.0,0.0
40.4,,,0.0,0.0,0.0
40.6,,,0.0,0.0,0.0
40.8,,,0.0,0.0,0.0
41.0,,,0.0,0.0,0.0
41.2,,,0.0,0.0,0.0
41.4,,,0.0,0.0,0.0
41.6,,,0.0,0.0,0.0
41.8,,,0.0,0.0,0.0
42.0,,,0.0,0.0,0.0
42.2,,,0.0,0.0,0.0
42.4,,,0.0,0.0,0.0
42.6,,,0.0,0.0,0.0
42.8,,,0.0,0.0,0.0
43.0,,,0.0,0.0,0.0
43.2,,,0.0,0.0,0.0
43.4,,,0.0,0.0,0.0
43.6,,,0.0,0.0,0.0
43.8,,,0.0,0.0,0.0
44.0,,,0.0,0.0,0.0
44.2,,,0.0,0.0,0.0
44.4,,,0.0,0.0,0.0
44.6,,,0.0,0.0,0.0
44.8,,,0.0,0.0,0.0
45.0,,,0.0,0.0,0.0
45.2,,,0.0,0.0,0.0
45.4,,,0.0,0.0,0.0
45.6,,,0.0,0.0,0.0
45.8,,,0.0,0.0,0.0
46.0,,,0.0,0.0,0.0
46.2,,,0.0,0.0,0.0
46.4,,,0.0,0.0,0.0
46.6,,,0.0,0.0,0.0
46.8,,,0.0,0.0,0.0
47.0,,,0.0,0.0,0.0
47.2,,,0.0,0.0,0.0
47.4,,,0.0,0.0,0.0
47.6,,,0.0,0.0,0.0
47.8,,,0.0,0.0,0.0
48.0,,,0.0,0.0,0.0
48.2,,,0.0,0.0,0.0
48.4,,,0.0,0.0,0.0
48.6,,,0.0,0.0,0.0
48.8,,,0.0,0.0,0.0
49.0,,,0.0,0.0,0.0
49.2,,,0.0,0.0,0.0
49.4,,,0.0,0.0,0.0
49.6,,,0.0,0.0,0.0
49.8,,,0.0,0.0,0.0
50.0,,,0.0,0.0,0.0
50.2,,,0.0,0.0,0.0
50.4,,,0.0,0.0,0.0
50.6,,,0.0,0.0,0.0
50.8,,,0.0,0.0,0.0
51.0,,,0.0,0.0,0.0
51.2,,,0.0,0.0,0.0
51.4,,,0.0,0.0,0.0
51.6,,,0.0,0.0,0.0
51.8,,,0.0,0.0,0.0
52.0,,,0.0,0.0,0.0
52.2,,,0.0,0.0,0.0
52.4,,,0.0,0.0,0.0
52.6,,,0.0,0.0,0.0
52.8,,,0.0,0.0,0.0
53.0,,,0.0,0.0,0.0
53.2,,,0.0,0.0,0.0
53.4,,,0.0,0.0,0.0
53.6,,,0.0,0.0,0.0
53.8,,,0.0,0.0,0.0
54.0,,,0.0,0.0,0.0
54.2,,,0.0,0.0,0.0
54.4,,,0.0,0.0,0.0
54.6,,,0.0,0.0,0.0
54.8,,,0.0,0.0,0.0
55.0,,,0.0,0.0,0.0
55.2,,,0.0,0.0,0.0
55.4,,,0.0,0.0,0.0
55.6,,,0.0,0.0,0.0
55.8,,,0.0,0.0,0.0
56.0,,,0.0,0.0,0.0
56.2,,,0.0,0.0,0.0
56.400000000000006,,,0.0,0.0,0.0
56.6,,,0.0,0.0,0.0
56.8,,,0.0,0.0,0.0
57.0,,,0.0,0.0,0.0
57.2,,,0.0,0.0,0.0
57.400000000000006,,,0.0,0.0,0.0
57.6,,,0.0,0.0,0.0
57.8,,,0.0,0.0,0.0
58.0,,,0.0,0.0,0.0
58.2,,,0.0,0.0,0.0
58.400000000000006,,,0.0,0.0,0.0
58.6,,,0.0,0.0,0.0
58.8,,,0.0,0.0,0.0
59.0,,,0.0,0.0,0.0
59.2,,,0.0,0.0,0.0
59.400000000000006,,,0.0,0.0,0.0
