Z0,C0,Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5
29.51,640.9,29.74,564.05,29.77,577.79,29.73,288.23,29.69,2.38,29.51,0.36
29.84,630.86,29.93,563.51,30.15,579.23,30.09,285.48,30.1,3.6,29.88,0.31
30.15,552.14,30.26,567.58,30.53,576.61,30.38,328.58,30.44,9.29,30.06,0.38
30.42,529.73,30.51,561.98,30.9,572.35,30.57,349.12,30.89,18.65,30.23,0.73
30.81,587.35,30.83,554.43,31.22,563.76,30.92,395.48,31.38,33.83,30.4,1.48
31.24,598.15,31.15,579.36,31.54,554.61,31.19,423.01,31.91,83.12,30.6,2.09
31.64,625.99,31.45,579.14,31.79,575.7,31.43,433.26,32.38,131.37,30.86,3.51
32.07,647.38,31.75,584.21,32.11,597.9,31.8,437.41,32.88,160.16,31.15,5.24
32.49,652.51,32.07,582.43,32.37,596.6,32.16,442.77,33.42,186.57,31.32,6.6
32.92,655.52,32.44,606.49,32.79,612.87,32.46,440.53,33.94,197.24,31.49,7.65
33.41,658.17,32.79,619.16,33.18,621.03,32.81,441.91,34.43,202.6,31.75,9.07
33.88,661.15,33.08,625.87,33.61,628.37,33.16,442.53,34.9,205.43,31.98,12.65
34.32,664.24,33.42,628.6,34.04,639.92,33.57,447.4,35.34,206.58,32.19,14.61
34.82,664.83,33.76,638.37,34.39,642.73,33.96,451.91,35.75,209.35,32.45,20.91
35.36,665.01,34.08,640.41,34.78,647.77,34.39,453.65,36.19,228.76,32.71,27.45
35.84,666.72,34.4,635.87,35.06,647.48,34.76,460.35,36.69,300.29,32.99,30.52
36.35,667.67,34.74,644.78,35.53,651.02,35.06,468.66,37.14,326.85,33.26,37.9
36.84,668.73,35.08,649.94,35.98,657.57,35.41,473.84,37.58,350.57,33.55,42.4
37.36,667.26,35.41,652.57,36.4,659.57,35.7,485.27,38.06,366.8,33.86,50.97
37.85,667.4,35.7,655.82,36.85,666.59,36.12,518.2,38.54,374.22,34.19,58.66
38.28,667.21,36.01,658.04,37.27,665.29,36.53,554.42,39.02,377.79,34.48,61
38.79,668.75,36.34,658.59,37.65,665.15,36.92,580.91,39.49,382.98,34.73,62.86
39.34,672.02,36.64,661.38,38.02,665.83,37.35,598.2,39.93,386.71,34.97,62.54
39.86,673.23,36.91,660.11,38.4,668.29,37.73,605.08,40.4,395.07,35.27,63.6
40.33,672.38,37.2,666.73,38.74,667.53,38.09,609.24,40.83,400.97,35.54,63.78
40.71,674.1,37.46,667.09,39.14,669.91,38.5,612.5,41.35,408.7,35.82,66.06
41.05,675.59,37.75,666.82,39.5,667.8,38.87,614.11,41.83,417.14,36.07,68.45
41.5,675.5,38.04,669.74,39.87,671.84,39.28,616.71,42.3,422.86,36.35,79.47
41.89,673.7,38.32,669.23,40.25,672.6,39.65,619.13,42.74,431.01,36.64,82.86
42.32,670.83,38.62,668.21,40.62,674.09,40.05,620.6,43.19,436.45,36.94,92
42.7,667.22,38.94,670.98,40.99,672.01,40.45,621.78,43.66,448.42,37.24,97.61
43.22,667.08,39.24,670.82,41.33,673.68,40.91,624.98,44.09,458.53,37.54,106.31
43.65,667.99,39.58,670.11,41.71,674.5,41.33,626.25,44.48,465.98,37.8,118.49
44.06,669.56,39.88,673.66,42.1,675.19,41.78,627.59,44.88,472.32,38.12,152.06
44.44,670.47,40.22,674,42.43,673.95,42.25,628.82,45.24,479.1,38.41,178.93
44.82,671.65,40.62,674.86,42.82,675.04,42.76,630.4,45.62,486.62,38.73,234.86
45.2,673.01,40.95,675,43.17,676.22,43.18,633.89,46.07,493.31,39.03,265.16
45.68,673.66,41.31,675.63,43.58,677.14,43.57,635.57,46.53,505.5,39.32,277.73
46.08,674.33,41.64,676.03,43.89,676.97,43.99,637.59,46.99,508.77,39.61,297.29
46.5,675.58,41.95,676.46,44.26,677.61,44.45,640.77,47.5,515.95,39.73,301.87
46.89,676.39,42.24,676.2,44.62,677.63,44.89,640.98,47.97,523.34,39.76,300.15
47.32,674.1,42.51,676.36,44.99,677.77,45.33,643.18,48.43,529.88,40.03,305.87
47.74,672.65,42.77,674.11,45.38,678.31,45.73,644.87,48.83,532.92,40.37,311.8
48.1,672.03,43.23,676.69,45.73,678.19,46.1,645.95,49.25,541.57,40.68,318.5
48.09,671.66,43.53,677.21,46.09,677.82,46.48,647.86,49.64,547.32,40.94,321.59
48.47,672.29,43.81,677.03,46.46,678.31,46.83,650.16,50.03,552.54,41.21,324.14
48.86,672.67,44.06,677.49,46.87,678.44,47.25,650.98,50.43,556.82,41.49,323.93
49.26,673.99,44.35,677.68,47.3,678.65,47.66,652.28,50.78,561.25,41.8,333.32
49.68,676.02,44.63,677.72,47.72,678.72,48.03,653.96,51.19,562.97,42.08,333.89
50.06,677.22,44.98,678.25,48.07,678.64,48.38,655.29,51.58,566.35,42.34,336.78
50.53,674.61,45.33,677.95,48.47,678.87,48.74,655.42,52,569.99,42.62,339.39
50.95,671.31,45.73,678.52,48.86,678.95,49.04,655.94,52.44,572.83,42.88,343.65
51.41,668.36,46.13,678.73,49.21,678.27,49.43,657.87,52.83,575.99,43.14,346.3
51.94,668.69,46.53,678.3,49.62,678.78,49.82,659.12,53.22,577.52,43.39,347.96
52.45,672.77,46.89,678.68,50.08,678.77,50.18,659.44,53.62,579.77,43.65,351.73
52.88,673.34,47.21,678.76,50.49,678.74,50.6,660.63,54.01,581.5,43.92,354.16
