Depth [L],Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
30,0.02,,
30,-0.02,,
31,0.02,,
31,-0.02,,
32,0.02,,
32,-0.01,,
33,0.01055,,
33,-0.01055,,
34,0.01055,,
34,-0.01055,,
35,0.00955,,
35,-0.00955,,
36,0.00955,,
36,-0.00955,,
37,0.00855,,
37,-0.00855,,
38,0.00755,,
38,-0.00755,,
39,0.00655,,
39,-0.00655,,
40,0.00355,,
40,-0.00355,,
41,0.0034,,
41,-0.0034,,
42,0.00325,,
42,-0.00325,,
43,0.0031,,
43,-0.0031,,
44,0.00295,,
44,-0.00295,,
45,0.0028,,
45,-0.0028,,
46,0.00265,,
46,-0.00265,,
47,0.0025,,
47,-0.0025,,
48,0.00235,,
48,-0.00235,,
49,0.0022,,
49,-0.0022,,
50,0.00205,,
50,-0.00205,,
51,0.0019,,
51,-0.0019,,
52,0.00175,,
52,-0.00175,,
53,0.0016,,
53,-0.0016,,
54,0.00145,,
54,-0.00145,,
55,0.0013,,
55,-0.0013,,
56,0.00115,,
56,-0.00115,,
57,0.001,,
57,-0.001,,
58,0.001,,
58,-0.001,,
59,0.001,,
59,-0.001,,
60,0.001,,
60,-0.001,,
61,0.001,,
61,-0.001,,
62,0.001,,
62,-0.001,,
63,0.001,,
63,-0.001,,
64,0.001,,
64,-0.001,,
65,0.001,,
65,-0.001,,
66,0.001,,
66,-0.001,,
67,0.001,,
67,-0.001,,
68,0.001,,
68,-0.001,,
69,0.001,,
69,-0.001,,
70,0.001,,
70,-0.001,,
71,0.001,,
71,-0.001,,
72,0.001,,
72,-0.001,,
73,0.001,,
73,-0.001,,
74,0.001,,
74,-0.001,,
75,0.001,,
75,-0.001,,
76,0.001,,
76,-0.001,,
77,0.001,,
77,-0.011,,
78,0.001,,
78,-0.001,,
79,0.001,,
79,-0.001,,
80,0.001,,
80,-0.001,,
81,0.001,,
81,-0.001,,
82,0.001,,
82,-0.001,,
83,0.001,,
83,-0.001,,
84,0.001,,
84,-0.001,,
