#Depth to groundwater level [L],,,,,
29.46,,,,,
#Borehole depth [L],,,,,
88.21,,,,,
#Spatial discretization of grid [L],,,,,
1,,,,,
#Constant borehole cross-sectional area [L^2],,,,,
0.0135,,,,,
#Dispersivity [L^-1],,,,,
0.55,,,,,
#Diffusion coefficient [L^2/T],,,,,
0.000000001,,,,,
#Tracer concentration of water inflow [M/L^3],,,,,
0,,,,,
#Water temperature [Celsius] (only read if above is FEC),,,,,
27.7,,,,,
# Bounds for automatic calibration of alpha and total inflow/outflow (AlphaMin AlphaMax FlowMin FlowMax),,,,,
0.2,0.6,1,4,,
#Times at which to output profiles [T],,,,,
0,0.08,0.12,0.8,1.92,2.83
