Z0,C0
57.57,532.15
58.05,525.53
58.47,522.37
58.9,523.71
59.31,519.2
59.78,511.59
60.22,502.24
60.68,500.05
61.05,502.05
61.47,510.99
61.92,516.22
62.33,516.53
62.69,519.04
62.92,517.57
63.21,516.36
63.75,512.09
64.28,507.01
64.71,506.17
65.11,515.1
65.44,513.47
65.84,515.47
66.32,501.88
66.7,504.96
67.07,499.55
67.45,496.61
67.76,494.85
68.17,488.54
68.62,482.23
68.99,478.81
69.39,478.61
69.72,475.01
70.12,478.13
70.46,482.91
70.71,475.17
71.06,484
71.51,481.65
71.92,477.32
72.24,477.76
72.6,467.74
72.91,464.72
73.34,456.67
73.65,450.87
73.97,450.85
74.3,448.54
74.69,442.67
74.95,450.81
75.27,457.55
75.55,454.28
75.85,442.49
76.15,428.81
76.5,418.81
76.83,406.62
77.19,387.77
77.58,383.64
77.97,382.65
78.36,383.39
78.66,396.7
78.79,398.49
79.16,403.36
79.29,409.26
79.66,410.45
80.04,421.27
80.45,442.62
80.9,459.06
81.31,505.32
81.76,568.06
82.1,630.2
82.44,650.31
82.76,679.89
83.14,701.17
83.46,712.05
83.82,704.95
84.34,672.77
84.72,641.43
85.07,579.38
85.46,437.34
85.85,257.37
86.16,198.88
86.43,135.02
86.53,76.22
86.53,49.69
86.53,48.67
86.53,47.39
86.62,39.42
86.67,54.43
86.51,56.71
86.51,72.33
86.48,82.09
