Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
40,0,0,40,40
40.2,0,0,40.2,40.2
40.4,0,0,40.4,40.4
40.6,0,0,40.6,40.6
40.8,0,0,40.8,40.8
41,0,0,41,41
41.2,0,0,41.2,41.2
41.4,0,0,41.4,41.4
41.6,0,0,41.6,41.6
41.8,0,0,41.8,41.8
42,0,0,42,42
42.2,0,0,42.2,42.2
42.4,0,0,42.4,42.4
42.6,0,0,42.6,42.6
42.8,0,0,42.8,42.8
43,0,0,43,43
43.2,0,0,43.2,43.2
43.4,0,0,43.4,43.4
43.6,0,0,43.6,43.6
43.8,0,0,43.8,43.8
44,0,0,44,44
44.2,0,0,44.2,44.2
44.4,0,0,44.4,44.4
44.6,0,0,44.6,44.6
44.8,0,0,44.8,44.8
45,0,0,45,45
45.2,0,0,45.2,45.2
45.4,0,0,45.4,45.4
45.6,0,0,45.6,45.6
45.8,0,0,45.8,45.8
46,0,0,46,46
46.2,0,0,46.2,46.2
46.4,0,0,46.4,46.4
46.6,0,0,46.6,46.6
46.8,0,0,46.8,46.8
47,0,0,47,47
47.2,0,0,47.2,47.2
47.4,0,0,47.4,47.4
47.6,0,0,47.6,47.6
47.8,0,0,47.8,47.8
48,0,0,48,48
48.2,0,0,48.2,48.2
48.4,5,0,48.4,48.4
48.6,0,0,48.6,48.6
48.8,0,0,48.8,48.8
49,0,0,49,49
49.2,0,0,49.2,49.2
49.4,0,0,49.4,49.4
49.6,0,0,49.6,49.6
49.8,0,0,49.8,49.8
50,0,0,50,50
50.2,0,0,50.2,50.2
50.4,0,0,50.4,50.4
50.6,0,0,50.6,50.6
50.8,0,0,50.8,50.8
51,0,0,51,51
51.2,0,0,51.2,51.2
51.4,0,0,51.4,51.4
51.6,0,0,51.6,51.6
51.8,0,0,51.8,51.8
52,0,0,52,52
52.2,0,0,52.2,52.2
52.4,0,0,52.4,52.4
52.6,0,0,52.6,52.6
52.8,0,0,52.8,52.8
53,0,0,53,53
53.2,0,0,53.2,53.2
53.4,0,0,53.4,53.4
53.6,0,0,53.6,53.6
53.8,0,0,53.8,53.8
54,0,0,54,54
54.2,0,0,54.2,54.2
54.4,0,0,54.4,54.4
54.6,0,0,54.6,54.6
54.8,0,0,54.8,54.8
55,0,0,55,55
55.2,0,0,55.2,55.2
55.4,0,0,55.4,55.4
55.6,0,0,55.6,55.6
55.8,0,0,55.8,55.8
56,0,0,56,56
56.2,0,0,56.2,56.2
56.4,0,0,56.4,56.4
56.6,0,0,56.6,56.6
56.8,0,0,56.8,56.8
57,0,0,57,57
57.2,0,0,57.2,57.2
57.4,0,0,57.4,57.4
57.6,0,0,57.6,57.6
57.8,0,0,57.8,57.8
58,0,0,58,58
58.2,0,0,58.2,58.2
58.4,0,0,58.4,58.4
58.6,0,0,58.6,58.6
58.8,0,0,58.8,58.8
59,0,0,59,59
59.2,0,0,59.2,59.2
59.4,0,0,59.4,59.4
59.6,0,0,59.6,59.6
59.8,0,0,59.8,59.8
60,0,0,60,60
60.2,0,0,60.2,60.2
60.4,0,0,60.4,60.4
60.6,0,0,60.6,60.6
60.8,0,0,60.8,60.8
61,0,0,61,61
61.2,0,0,61.2,61.2
61.4,0,0,61.4,61.4
61.6,0,0,61.6,61.6
