Z1[L],C1[M L^-3  or microS/cm],Z2[L],C2[M L^-3  or microS/cm],Z3[L],C3[M L^-3  or microS/cm],Z4[L],C4[M L^-3  or microS/cm],Z5[L],C5[M L^-3  or microS/cm]
40.057,3.334903942345986,40.068,3.1806684933618072,40.126,3.559105495839961,40.038,1.1386541895931117,40.081,2.281790192102105
40.127,3.6356117116056508,40.118,3.221747160817935,40.325,3.533511270572464,40.08,2.4698056694035984,40.155,2.5762097707582994
40.188,3.624423426137656,40.2,3.33030618841984,40.446,3.5241580783081132,40.106,2.6239271361695615,40.221,2.672661363990784
40.292,4.008783281187829,40.273,3.3376816914039127,40.626,3.5274510329360824,40.121,2.6897383386141316,40.308,2.730233714086276
40.367,4.141958118903813,40.353,3.375297502212689,40.747,3.53035777596381,40.147,2.7968586845167183,40.481,2.7974740311183184
40.482,4.215498440721376,40.505,3.5394775717905533,40.846,3.500154717583334,40.164,2.786820745874587,40.655,2.8551687385105424
40.576,4.2972636300844105,40.593,3.6345326803036415,40.963,3.4694976200046654,40.235,2.8537689209443386,40.76,2.8705084188853904
40.698,4.336974235756481,40.665,3.6487357819581034,41.058,3.4675127150611984,40.313,2.9896198220391286,40.87,2.878621051512539
40.833,4.355070978050418,40.744,3.6634519887452797,41.187,3.474386315995176,40.407,3.0056467947556085,41.042,2.862285650114464
40.937,4.347746519794299,40.837,3.6992033198144667,41.304,3.4859244810121965,40.487,3.07709739899218,41.339,2.8311286511037537
41.045,4.377672556383095,40.997,3.6862824186032896,41.366,3.4692401551711667,40.509,3.1056826705979064,41.603,2.820587456704098
41.156,4.385202739365539,41.163,3.707916459220499,41.38,3.470691421202292,40.54,3.110346659762473,41.776,2.790454219244964
41.249,4.373121145528794,41.247,3.6906388216432076,41.421,3.4614687963184196,40.633,3.101155396669333,42.096,2.7737112053638753
41.4,4.347634838212622,41.347,3.650022813701406,41.519,3.3897817124755933,40.727,3.1453293402981983,42.236,2.720978599798053
41.57,4.3222495423889,41.499,3.6220033918901295,41.631,3.3876596316568426,40.848,3.1714081163769294,42.401,2.7089608294187144
41.612,4.318579166065836,41.608,3.5971929931551814,41.703,3.341526761442489,40.951,3.1700841377648885,42.644,2.6892953951285476
41.668,4.321705009369114,41.646,3.588532402169406,41.775,3.31002990283813,41.026,3.1707386920481553,42.794,2.6617826014402084
41.724,4.312551311544468,41.766,3.5482365223166084,41.886,3.333935282775019,41.135,3.174064378103671,43.007,2.6139728096127186
41.801,4.2944654162940195,41.906,3.5254886710025035,41.989,3.330962856749642,41.209,3.173476542597092,43.168,2.591109603830182
41.869,4.289464901397184,42.001,3.4852595542324907,42.08,3.3132764947774236,41.267,3.175076732819008,43.337,2.5783728696213815
41.908,4.270528010436928,42.114,3.4821470120548073,42.138,3.3196509628977027,41.251,3.1731312745577895,43.6,2.5179070817623286
42.004,4.256585447532527,42.254,3.483936680006269,42.26,3.301359946437219,41.262,3.174359539856167,43.751,2.516536489952094
42.1,4.22815104253444,42.378,3.467496389552005,42.341,3.2829263140909206,41.368,3.1664566333938864,43.936,2.453792458368946
42.182,4.209309300210441,42.494,3.380018129540602,42.466,3.2695498682571156,41.415,3.1353878495658902,44.126,2.3718419041326086
42.257,4.185769296295382,42.59,3.3751318754347777,42.545,3.2278401505323844,41.471,3.1156280946323536,44.39,2.3425601748156653
42.302,4.16408318169068,42.676,3.369237080281093,42.726,3.1085165852583088,41.519,3.0957643142055273,44.585,2.3987723839580726
42.385,4.1547886327959445,42.803,3.3196671680572707,42.802,3.0904011624582552,41.529,3.094018145069998,44.726,2.3440424611716737
42.516,4.057407629313635,42.927,3.292774027762758,42.851,3.0809861042720286,41.542,3.098930977627839,44.842,2.242120404450321
42.538,4.029061795818739,43.039,3.170524629429252,42.965,3.077232265591371,41.613,3.0945549851587315,45.034,2.1971749228113624
42.573,4.04392786211794,43.114,3.1580937084824967,43.1,3.0540114659743978,41.701,3.0810637135128474,45.167,2.159219905928512
42.754,3.924740361630131,43.185,3.1307174738149826,43.257,2.9066182857559566,41.722,3.0813199493044126,45.323,2.134891714023678
42.861,3.890147549955634,43.269,3.1160964018286537,43.29,2.9151777866961908,41.833,3.069366545217065,45.528,2.098850794845416
42.935,3.881044526571833,43.534,3.091598534762471,43.305,2.9123999697008203,41.956,3.05287412695217,45.694,2.031378587503011
43.068,3.829690460368758,43.584,3.0583479628163133,43.471,2.89358220239624,42.181,3.0361922669985404,45.79,1.9862424390756162
43.113,3.8145251846996304,43.72,2.9853212384304584,43.555,2.8374003349953285,42.209,3.0329143153903715,45.921,1.9423216792674283
43.182,3.822977726076516,43.829,2.9819815868273194,43.556,2.8364301861108148,42.224,3.0335306577917036,46.045,1.9934419417106084
43.233,3.831885483628767,43.933,2.977520989102601,43.62,2.842953097657312,42.24,3.033247371477549,46.345,1.7716790747348283
43.338,3.7467410349262025,44.056,2.899180724571727,43.67,2.8316251555398027,42.251,3.034016739596879,46.576,1.742301948208123
43.405,3.690370209221612,44.114,2.902604561263476,43.814,2.8051646822343286,42.361,3.021599792663636,46.78,1.75482308120491
43.503,3.669208338663478,44.271,2.9121879987133754,43.972,2.7265926764314345,42.448,3.0063611156758925,47.008,1.7578644358231401
43.559,3.623114014099818,44.42,2.888904105467046,44.132,2.5865049847277306,42.544,3.0143559777692674,47.294,1.698599814544852
43.569,3.6331003953520224,44.454,2.8023482506508173,44.281,2.4947796946488126,42.732,2.8960162605660513,47.395,1.6789369930855884
43.59,3.6394001864650702,44.535,2.8080902904690133,44.35,2.4164707099949396,42.822,2.8742805004312117,47.585,1.6710320448080267
43.638,3.615335908725572,44.703,2.7177518773675957,44.541,2.376229797914354,42.842,2.8703834466479234,47.857,1.6012078406171981
43.642,3.618762377416087,44.871,2.613769906385605,44.684,2.3689276636492567,42.855,2.872928763171268,48.025,1.5941626653151815
43.677,3.603846138882031,44.997,2.5221578675711442,44.795,2.369060958862133,42.943,2.878727168092243,48.276,1.6026017627823108
43.7,3.5423236803501483,45.089,2.4735748093580954,44.931,2.269437936884978,43.087,2.894645999153235,48.552,1.4343510806995483
43.767,3.540276659353174,45.232,2.4478191100664475,45.025,2.2540506842140275,43.231,2.7445752588561563,48.722,1.422940301648228
