Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
40.0,4.035992848638705,4.008393987966998,3.9794252238408716,3.9545205087233026,3.9325034479715173
40.2,4.0311411495730995,4.003588355995867,3.9746679469748862,3.949804804374209,3.9278244967643534
40.4,4.114214366396215,4.11421436033556,4.114214351022884,4.114214340536928,4.114214329366805
40.6,4.097986103902332,4.069798681270555,4.040212144088484,4.014776326178737,3.9922897447989327
40.8,4.028010950971841,4.028010947477835,4.028010940944427,4.028010932919442,4.02801092397981
41.0,3.9119841398443445,3.885562617379168,3.8578296314657567,3.8339873274869314,3.812909494176802
41.2,3.879759312237088,3.853643719503102,3.8262318484727547,3.8026656098966614,3.781831832701304
41.4,3.692856251136267,3.692856256469874,3.6928562595335843,3.6928562600377353,3.6928562588516174
41.6,3.642678943373847,3.6188141927154978,3.5937648882112203,3.57222977093083,3.5531916110820925
41.8,3.6722993639237584,3.6722993597091516,3.672299352771034,3.672299344693598,3.6722993359339964
42.0,3.6373071283403036,3.6134933686707265,3.588497584985673,3.5670084790692766,3.5480109949265377
42.2,3.5083498936491146,3.4857604545499448,3.462049761906124,3.4416654605146975,3.4236446807951784
42.4,3.4209438373343106,3.4209438321381764,3.4209438244183037,3.420943815877583,3.4209438068683933
42.6,3.2458592570489,3.225761899960301,3.204666987859579,3.186531498068594,3.1704987851244057
42.8,3.263827867661146,3.2638278648977987,3.263827859886792,3.2638278538054224,3.2638278470704254
43.0,3.2438738536723593,3.2237953347243007,3.2027201948070214,3.184601702497913,3.16858401558078
43.2,3.190971059092996,3.171394798052096,3.150846846154425,3.1331815822088216,3.1175645726399064
43.4,3.129866895122338,3.1298668901456796,3.1298668829439356,3.1298668750904475,3.129866866874068
43.6,2.9829411974143203,2.96533997000063,2.9468650857897485,2.930982058053188,2.9169406383110297
43.8,2.9760286678549184,2.9760286683324813,2.9760286670077702,2.9760286643346117,2.9760286607958246
44.0,2.9967313030009306,2.9789991402795115,2.960386820772555,2.944385637922835,2.9302397623976444
44.2,2.898930801747453,2.8821271579714454,2.8644894454483167,2.849326141138913,2.835920993641125
44.4,2.796849628511693,2.7968496289063856,2.7968496276718273,2.796849625225015,2.7968496220003716
44.6,2.718934890024274,2.703840119254173,2.6879961024925634,2.674374855679284,2.662332967502225
44.8,2.6267415479219802,2.626741546816747,2.6267415441759816,2.6267415406615453,2.6267415366013362
45.0,2.525500370360961,2.5122420618072727,2.4983256614702682,2.486361603652211,2.47578475602439
45.2,2.4925897217570667,2.479643864572102,2.466055424464201,2.4543733170554902,2.4440457281931014
45.4,2.5103877479092405,2.5103877362323246,2.510387722610168,2.510387709751582,2.510387697504716
45.6,2.29532862524953,2.2842555624323713,2.2726328756390783,2.2626407449927326,2.253807183605639
