Depth [L],Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
40,0.1,40,40
40.2,0.1,40.2,40.2
40.4,0.1,40.4,40.4
40.6,0.1,40.6,40.6
40.8,0.1,40.8,40.8
41,0.1,41,41
41.2,0.1,41.2,41.2
41.4,0.1,41.4,41.4
41.6,0.1,41.6,41.6
41.8,0.1,41.8,41.8
42,0.1,42,42
42.2,0.1,42.2,42.2
42.4,0.1,42.4,42.4
42.6,0.1,42.6,42.6
42.8,0.1,42.8,42.8
43,0.1,43,43
43.2,0.1,43.2,43.2
43.4,0.1,43.4,43.4
43.6,0.1,43.6,43.6
43.8,0.1,43.8,43.8
44,0.1,44,44
44.2,0.1,44.2,44.2
44.4,0.1,44.4,44.4
44.6,0.1,44.6,44.6
44.8,4,44.8,44.8
45,0.1,45,45
45.2,0.1,45.2,45.2
45.4,0.1,45.4,45.4
45.6,0.1,45.6,45.6
45.8,0.1,45.8,45.8
46,0.1,46,46
46.2,0.1,46.2,46.2
46.4,0.1,46.4,46.4
46.6,0.1,46.6,46.6
46.8,0.1,46.8,46.8
47,0.1,47,47
47.2,0.1,47.2,47.2
47.4,0.1,47.4,47.4
47.6,0.1,47.6,47.6
47.8,0.1,47.8,47.8
48,0.1,48,48
48.2,0.1,48.2,48.2
48.4,0.1,48.4,48.4
48.6,0.1,48.6,48.6
48.8,0.1,48.8,48.8
49,0.1,49,49
49.2,0.1,49.2,49.2
49.4,0.1,49.4,49.4
49.6,0.1,49.6,49.6
49.8,0.1,49.8,49.8
50,0.1,50,50
50.2,0.1,50.2,50.2
50.4,0.1,50.4,50.4
50.6,0.1,50.6,50.6
50.8,0.1,50.8,50.8
51,0.1,51,51
51.2,0.1,51.2,51.2
51.4,0.1,51.4,51.4
51.6,0.1,51.6,51.6
51.8,0.1,51.8,51.8
52,0.1,52,52
52.2,0.1,52.2,52.2
52.4,0.1,52.4,52.4
52.6,0.1,52.6,52.6
52.8,0.1,52.8,52.8
53,0.1,53,53
53.2,0.1,53.2,53.2
53.4,0.1,53.4,53.4
53.6,0.1,53.6,53.6
53.8,0.1,53.8,53.8
54,0.1,54,54
54.2,0.1,54.2,54.2
54.4,0.1,54.4,54.4
54.6,0.1,54.6,54.6
54.8,0.1,54.8,54.8
55,0.1,55,55
55.2,0.1,55.2,55.2
55.4,0.1,55.4,55.4
55.6,0.1,55.6,55.6
55.8,0.1,55.8,55.8
56,0.1,56,56
56.2,0.1,56.2,56.2
56.4,0.1,56.4,56.4
56.6,0.1,56.6,56.6
56.8,0.1,56.8,56.8
57,0.1,57,57
57.2,0.1,57.2,57.2
57.4,0.1,57.4,57.4
57.6,0.1,57.6,57.6
57.8,0.1,57.8,57.8
58,0.1,58,58
58.2,0.1,58.2,58.2
58.4,0.1,58.4,58.4
58.6,0.1,58.6,58.6
58.8,0.1,58.8,58.8
59,0.1,59,59
59.2,0.1,59.2,59.2
59.4,0.1,59.4,59.4
59.6,0.1,59.6,59.6
59.8,0.1,59.8,59.8
60,0.1,60,60
60.2,0.1,60.2,60.2
60.4,0.1,60.4,60.4
60.6,0.1,60.6,60.6
60.8,0.1,60.8,60.8
61,0.1,61,61
61.2,0.1,61.2,61.2
61.4,0.1,61.4,61.4
61.6,0.1,61.6,61.6
61.8,0.1,61.8,61.8
62,0.1,62,62
62.2,0.1,62.2,62.2
62.4,0.1,62.4,62.4
62.6,0.1,62.6,62.6
62.8,0.1,62.8,62.8
63,0.1,63,63
63.2,0.1,63.2,63.2
63.4,0.1,63.4,63.4
63.6,0.1,63.6,63.6
63.8,0.1,63.8,63.8
