Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
40.0,1.3028810606492298,1.1328295075788708,1.1290670648854861,1.1290020150636704,1.129000086029548
40.5,1.3066988322169004,1.1329135891023572,1.1290685373770153,1.1290020593068546,1.1290000879184319
41.0,1.2954635100574035,1.1326661455286189,1.1290642039804966,1.1290019291035485,1.1290000823596338
41.5,1.2792327195834128,1.1323086831674865,1.129057943861784,1.1290017410090247,1.1290000743292739
42.0,1.2790337726260967,1.1323043016098404,1.1290578671289224,1.1290017387034696,1.1290000742308421
42.5,1.260300036826071,1.1318917150866965,1.129050641639232,1.1290015216029488,1.1290000649621228
43.0,1.2555006582379595,1.1317860149192387,1.1290487905474909,1.1290014659841576,1.1290000625875778
43.5,1.2455583054981976,1.1315670473403983,1.1290449558415474,1.1290013507647472,1.1290000576684907
44.0,1.2407178876539267,1.1314604433367432,1.1290430889212413,1.1290012946703645,1.129000055273641
44.5,1.226893238354281,1.1311559731500191,1.1290377568367163,1.1290011344599997,1.129000048433745
45.0,1.2125313252740382,1.1308396704164727,1.1290322175327487,1.1290009680234199,1.1290000413280326
45.5,1.203589967458709,1.1306427484648973,1.1290287689044392,1.1290008644042815,1.1290000369041981
46.0,1.1898958016014125,1.130341152009583,1.1290234871466256,1.1290007057060576,1.129000030128861
46.5,1.1844921008771578,1.1302221424240888,1.1290214029715484,1.1290006430839348,1.129000027455321
47.0,1.1845514408606566,1.130223449309814,1.1290214258585756,1.1290006437716082,1.12900002748468
47.5,1.1818486851217531,1.1301639245760196,1.129020383421792,1.1290006124500527,1.129000026147462
48.0,1.1673308769171944,1.1298441884553672,1.129014783990125,1.1290004442068489,1.129000018964619
48.5,1.1664007812678556,1.1298237042881631,1.1290144252577146,1.1290004334282022,1.129000018504444
49.0,1.1659560853701052,1.1298139104312166,1.1290142537411816,1.1290004282747343,1.1290000182844258
49.5,1.168612290233888,1.1298724099408413,1.1290152782235428,1.1290004590568226,1.1290000195986118
50.0,1.1787328732977576,1.1300953028149505,1.1290191816718826,1.1290005763417006,1.1290000246058804
50.5,1.1904531155173357,1.1303534261330148,1.1290237020992164,1.1290007121646253,1.129000030404598
51.0,1.2014550830793675,1.1305957303712115,1.1290279454922796,1.1290008396636446,1.1290000358479408
51.5,1.204561397158155,1.1306641429601691,1.1290291435790936,1.1290008756619359,1.1290000373848237
52.0,1.2075294095761384,1.1307295096307897,1.1290302883237315,1.1290009100574812,1.1290000388532804
52.5,1.2094553989072416,1.1307719270780696,1.1290310311662977,1.1290009323772847,1.1290000398061846
53.0,1.2098321861483552,1.1307802253344867,1.129031176490891,1.1290009367437774,1.1290000399926041
53.5,1.2097666835263952,1.1307787827231583,1.1290311512269209,1.129000935984684,1.1290000399601958
54.0,1.2092338509327112,1.1307670477681186,1.129030945716581,1.1290009298098218,1.129000039696571
54.5,1.2091289080565957,1.1307647365356848,1.1290309052407395,1.1290009285936655,1.1290000396446496
55.0,1.2091879334438034,1.1307660364941627,1.1290309280064765,1.1290009292776957,1.129000039673853
55.5,1.2091153522147682,1.1307644379856383,1.1290309000123324,1.12900092843657,1.129000039637943
56.0,1.2092153685835778,1.130766640717956,1.1290309385880457,1.1290009295956343,1.1290000396874267
56.5,1.2091275551362795,1.1307647067393674,1.1290309047189266,1.129000928577987,1.12900003964398
57.0,1.2093168357170274,1.130768875401644,1.1290309777233154,1.1290009307715114,1.129000039737629
57.5,1.209779047125315,1.1307790550157362,1.1290311559954926,1.1290009361279627,1.129000039966313
58.0,1.21068071600163,1.1307989131175284,1.1290315037637886,1.1290009465771753,1.1290000404124234
58.5,1.212287465714389,1.1308342997210652,1.1290321234775367,1.1290009651973913,1.1290000412073802
59.0,1.2130767662873998,1.1308516830547497,1.129032427906043,1.1290009743443963,1.1290000415978951
59.5,1.2121348683626856,1.130830938960145,1.1290320646216592,1.1290009634289797,1.1290000411318812
60.0,1.211786508906323,1.1308232667895723,1.1290319302615042,1.1290009593919303,1.1290000409595264
60.5,1.2127590425895678,1.1308446855976129,1.129032305361921,1.1290009706623771,1.129000041440698
61.0,1.2133564674962016,1.1308578431156122,1.1290325357851307,1.1290009775857832,1.1290000417362804
61.5,1.2128364412797512,1.130846390204524,1.1290323352141298,1.1290009715593305,1.129000041478992
62.0,1.211501630460857,1.1308169927065737,1.1290318203855827,1.1290009560905456,1.1290000408185799
62.5,1.2100897359695566,1.1307858975391814,1.129031275826312,1.1290009397284566,1.1290000401200297
63.0,1.2074363731789794,1.1307274606235391,1.129030252440157,1.1290009089793063,1.1290000388072494
63.5,1.20489893122586,1.1306715767156796,1.12902927376397,1.1290008795735327,1.129000037551822
64.0,1.203001779577886,1.1306297943813988,1.1290285420439252,1.129000857587922,1.1290000366131863
64.5,1.202107725970401,1.13061010399617,1.1290281972127936,1.1290008472269606,1.1290000361708432
65.0,1.2020956788907988,1.1306098386749368,1.1290281925663164,1.1290008470873503,1.1290000361648829
65.5,1.204511574264837,1.130663045675048,1.1290291243627113,1.129000875084551,1.1290000373601734
66.0,1.208388236870756,1.1307484242014483,1.129030619568279,1.1290009200102136,1.1290000392781945
66.5,1.210374412113261,1.130792167166283,1.1290313856241905,1.129000943027496,1.1290000402608762
67.0,1.209777777353405,1.1307790270504008,1.1290311555057408,1.1290009361132474,1.1290000399656848
67.5,1.2082156097318724,1.1307446223099225,1.129030552987025,1.1290009180096814,1.129000039192785
68.0,1.204949047049155,1.1306726804525287,1.1290292930933454,1.1290008801543123,1.1290000375766178
68.5,1.2026287897655343,1.1306215797586456,1.1290283981839837,1.1290008532654376,1.1290000364286452
