Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5,Z6,C6,Z7,C7,Z8,C8
21.25,489.9425428,21.25,408.0962791,21.25,301.0259032,21.25,181.4081035,21.25,109.3950967,21.25,65.9990537,21.25,24.04288513,21.25,1.165404459
23.75,492.6048022,23.75,428.8268415,23.75,335.3253317,23.75,216.2658621,23.75,136.3070014,23.75,84.68903124,23.75,31.89813335,23.75,1.588023754
26.25,494.3344546,26.25,443.7564368,26.25,363.4768776,26.25,249.3904081,26.25,164.3930005,26.25,105.4491094,26.25,41.27219104,26.25,2.123486468
28.75,495.8286703,28.75,457.0115658,28.75,389.9724358,28.75,283.6570918,28.75,195.720004,28.75,129.9451585,28.75,53.14842938,28.75,2.84812623
31.25,497.2271897,31.25,469.7514585,31.25,416.588862,31.25,320.7296594,31.25,231.926685,31.25,159.8218194,31.25,68.74224021,31.25,3.87433755
33.75,498.4149754,33.75,478.7320746,33.75,437.7761794,33.75,354.9561067,33.75,268.7554438,33.75,192.4063042,33.75,87.36210195,33.75,5.218315675
36.25,255.4909873,36.25,40.66516562,36.25,36.9595065,36.25,30.08704516,36.25,22.85807283,36.25,16.40907327,36.25,7.47821706,36.25,0.448382554
38.75,416.6650091,38.75,42.85716928,38.75,37.21957474,38.75,30.41778032,38.75,23.18732956,38.75,16.69048454,38.75,7.634565807,38.75,0.459486352
41.25,479.5057762,41.25,49.92162629,41.25,37.5005061,41.25,30.76738851,41.25,23.5337126,41.25,16.98619974,41.25,7.798929152,41.25,0.471180014
43.75,496.0339348,43.75,66.68735364,43.75,37.80101229,43.75,31.13232889,43.75,23.89474087,43.75,17.29459286,43.75,7.970686991,43.75,0.483435794
46.25,499.3480778,46.25,97.69272565,46.25,38.1191713,46.25,31.50175792,46.25,24.26225694,46.25,17.60989444,46.25,8.147291086,46.25,0.496109384
48.75,499.9069438,48.75,144.4696358,48.75,38.48570745,48.75,31.87412842,48.75,24.63512913,48.75,17.93141031,48.75,8.328622921,48.75,0.509274749
51.25,499.9879228,51.25,202.8418831,51.25,39.0713694,51.25,32.32717266,51.25,25.06989795,51.25,18.30134819,51.25,8.539495045,51.25,0.528112126
53.75,499.9999736,53.75,489.0822062,53.75,416.1788857,53.75,312.8549741,53.75,236.0375733,53.75,178.3306305,53.75,101.5740978,53.75,18.090589
56.25,500,56.25,499.754358,56.25,492.4498627,56.25,460.1290011,56.25,414.1894803,56.25,363.4159616,56.25,265.6168871,56.25,82.75116635
58.75,500,58.75,499.9962967,58.75,499.5909115,58.75,494.8628725,58.75,482.6056709,58.75,462.5961434,58.75,404.8658775,58.75,204.4210561
61.25,500,61.25,499.9999619,61.25,499.9858399,61.25,499.5801958,61.25,497.7374366,61.25,493.3267857,61.25,473.97268,61.25,342.3047157
63.75,500,63.75,499.9999997,63.75,499.9996886,63.75,499.9784106,63.75,499.8139066,63.75,499.2414136,63.75,495.3781351,63.75,441.5105979
66.25,500,66.25,499.9999999,66.25,499.9999945,66.25,499.9993417,66.25,499.9910274,66.25,499.9493561,66.25,499.513147,66.25,486.5610668
68.75,499.999993,68.75,499.9993091,68.75,499.9957354,68.75,499.9832802,68.75,499.9629663,68.75,499.9342993,68.75,499.8380393,68.75,498.0701687
