Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,499.99999999897216,499.9999999032053,499.9999994504581,499.9999981068058,499.99999628542383,499.9999941762998,499.999989506524,499.9999744585796
21.25,489.9425427949677,408.0962790940318,301.0259032448365,181.40810349932718,109.39509667177987,65.99905370345664,24.042885130184303,1.1654044590018868
23.75,492.6048021822226,428.82684150071333,335.32533167636757,216.2658621034399,136.30700140772186,84.68903123544786,31.898133349305763,1.5880237535549406
26.25,494.3344546357342,443.7564368297735,363.47687763116164,249.39040805584182,164.3930005231859,105.44910942647225,41.27219103699375,2.1234864681349257
28.75,495.8286703002206,457.011565820057,389.9724358433429,283.6570917562816,195.72000403937923,129.94515847713618,53.14842937631003,2.8481262301549357
31.25,497.2271896521608,469.75145849419846,416.5888619931043,320.7296593844435,231.92668504045304,159.82181944010466,68.74224021053217,3.874337549767444
33.75,498.4149754137999,478.73207463350144,437.77617937445075,354.9561067017492,268.75544384477706,192.40630423467857,87.36210194597194,5.2183156754789
36.25,255.49098734234354,40.66516562129615,36.959506495375095,30.08704516365043,22.85807282571498,16.40907326509281,7.478217059542917,0.4483825541780212
38.75,416.66500906690794,42.857169277028675,37.219574741808074,30.417780316918737,23.18732956092898,16.690484537130985,7.63456580667291,0.4594863515038038
41.25,479.5057762486142,49.92162629207925,37.500506098007236,30.767388509391402,23.5337125978887,16.986199737871175,7.7989291521432484,0.4711800142568186
43.75,496.0339347589418,66.68735364264245,37.80101228918509,31.13232889288496,23.89474086912611,17.294592861041092,7.970686990576066,0.4834357937964491
46.25,499.3480777781223,97.69272565000927,38.11917130458554,31.50175792027092,24.26225694371019,17.60989444499405,8.147291085714306,0.49610938352452766
48.75,499.90694376543314,144.4696357501005,38.48570744610888,31.87412841827341,24.635129126648877,17.931410305774577,8.328622920842658,0.5092747487172212
51.25,499.98792281284904,202.8418830571426,39.07136940327886,32.327172659001384,25.069897954919075,18.301348190252227,8.539495044512181,0.5281121256845028
53.75,499.9999735632266,489.0822061516342,416.1788857063696,312.85497414813454,236.03757330838252,178.3306304637312,101.5740977610869,18.09058900052503
56.25,499.9999999539507,499.75435799154496,492.449862688402,460.12900112230574,414.1894803204974,363.4159615571638,265.61688705177977,82.75116634878778
58.75,499.99999999993787,499.99629668741454,499.590911505549,494.8628724683832,482.6056709114074,462.5961433541595,404.8658775113503,204.42105614501153
61.25,499.99999999999994,499.9999618594024,499.98583989686796,499.580195794113,497.7374365692485,493.3267857088321,473.9726799782512,342.3047156744609
63.75,500.0,499.9999997386086,499.9996885944129,499.9784105684596,499.81390664105106,499.24141356908297,495.37813507082143,441.5105979048998
66.25,499.99999999990166,499.99999990197733,499.9999944949992,499.99934169312706,499.9910273685159,499.94935611822274,499.5131469805361,486.56106684187637
68.75,499.9999930392792,499.9993091239162,499.9957353514012,499.9832801693144,499.9629663144724,499.9342993018215,499.83803928592675,498.0701686634997
71.25,499.9173636623077,499.17426321503825,497.9382652521461,495.88520135154283,493.8407711700284,491.804937735389,487.758913181658,475.8231733032001
