Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5,Z6,C6,Z7,C7,Z8,C8
18.75,500,18.75,500,18.75,500,18.75,500,18.75,500,18.75,500,18.75,500,18.75,500
21.25,500,21.25,500,21.25,500,21.25,500,21.25,500,21.25,500,21.25,500,21.25,500
23.75,500,23.75,500,23.75,500,23.75,500,23.75,500,23.75,500,23.75,500,23.75,500
26.25,500,26.25,500,26.25,500,26.25,500,26.25,500,26.25,500,26.25,500,26.25,500
28.75,500,28.75,500,28.75,500,28.75,500,28.75,500,28.75,500,28.75,500,28.75,500
31.25,500,31.25,500,31.25,500,31.25,500,31.25,500,31.25,500,31.25,500,31.25,500
33.75,500,33.75,500,33.75,500,33.75,500,33.75,500,33.75,500,33.75,500,33.75,500
36.25,500,36.25,500,36.25,500,36.25,500,36.25,500,36.25,500,36.25,500,36.25,500
38.75,500,38.75,500,38.75,500,38.75,500,38.75,500,38.75,500,38.75,500,38.75,500
41.25,500,41.25,500,41.25,500,41.25,500,41.25,500,41.25,500,41.25,500,41.25,500
43.75,500,43.75,500,43.75,500,43.75,500,43.75,500,43.75,500,43.75,500,43.75,500
46.25,500,46.25,500,46.25,500,46.25,500,46.25,500,46.25,500,46.25,500,46.25,500
48.75,500,48.75,500,48.75,500,48.75,500,48.75,500,48.75,500,48.75,500,48.75,500
51.25,500,51.25,500,51.25,500,51.25,500,51.25,500,51.25,500,51.25,500,51.25,500
53.75,500,53.75,500,53.75,500,53.75,500,53.75,500,53.75,500,53.75,500,53.75,500
56.25,500,56.25,500,56.25,500,56.25,500,56.25,500,56.25,500,56.25,500,56.25,500
58.75,500,58.75,500,58.75,500,58.75,500,58.75,500,58.75,500,58.75,500,58.75,500
61.25,500,61.25,500,61.25,500,61.25,500,61.25,500,61.25,500,61.25,500,61.25,500
63.75,500,63.75,500,63.75,500,63.75,500,63.75,500,63.75,500,63.75,500,63.75,500
66.25,500,66.25,500,66.25,500,66.25,500,66.25,500,66.25,500,66.25,500,66.25,500
68.75,500,68.75,500,68.75,500,68.75,500,68.75,500,68.75,500,68.75,500,68.75,500
71.25,500,71.25,500,71.25,500,71.25,500,71.25,500,71.25,500,71.25,500,71.25,500
