name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:30,-0.30103,4,-8.30103,7.69897,-0.823601,2.31423,-5.45206,3.80486
OUT_INST:0_USECOL:2_DIRECT_IDX0:30,-0.30103,4,-8.30103,7.69897,-0.808787,3.56788,-7.94455,6.32697
IN_INST:0_USECOL:1_DIRECT_IDX0:31,-0.30103,4,-8.30103,7.69897,-0.330112,2.15685,-4.64381,3.98358
OUT_INST:0_USECOL:2_DIRECT_IDX0:31,-0.30103,4,-8.30103,7.69897,-0.856176,3.69259,-8.24136,6.52901
IN_INST:0_USECOL:1_DIRECT_IDX0:32,-0.30103,4,-8.30103,7.69897,0.0403024,1.62913,-3.21795,3.29856
OUT_INST:0_USECOL:2_DIRECT_IDX0:32,-0.30103,4,-8.30103,7.69897,-0.867886,3.74456,-8.357,6.62123
IN_INST:0_USECOL:1_DIRECT_IDX0:33,-0.30103,4,-8.30103,7.69897,-0.0105126,1.53754,-3.08559,3.06456
OUT_INST:0_USECOL:2_DIRECT_IDX0:33,-0.30103,4,-8.30103,7.69897,-0.735526,3.72665,-8.18883,6.71778
IN_INST:0_USECOL:1_DIRECT_IDX0:34,-0.30103,4,-8.30103,7.69897,-0.169086,1.56976,-3.3086,2.97043
OUT_INST:0_USECOL:2_DIRECT_IDX0:34,-0.30103,4,-8.30103,7.69897,-0.657937,3.74998,-8.1579,6.84203
IN_INST:0_USECOL:1_DIRECT_IDX0:35,-0.30103,4,-8.30103,7.69897,-0.276919,1.61775,-3.51243,2.95859
OUT_INST:0_USECOL:2_DIRECT_IDX0:35,-0.30103,4,-8.30103,7.69897,-0.621093,3.80704,-8.23518,6.993
IN_INST:0_USECOL:1_DIRECT_IDX0:36,-0.30103,4,-8.30103,7.69897,-0.344213,1.65683,-3.65788,2.96945
OUT_INST:0_USECOL:2_DIRECT_IDX0:36,-0.30103,4,-8.30103,7.69897,-0.589324,3.86711,-8.32355,7.1449
IN_INST:0_USECOL:1_DIRECT_IDX0:37,-0.30103,4,-8.30103,7.69897,-0.367371,1.68451,-3.73639,3.00164
OUT_INST:0_USECOL:2_DIRECT_IDX0:37,-0.30103,4,-8.30103,7.69897,-0.564234,3.91134,-8.38691,7.25844
IN_INST:0_USECOL:1_DIRECT_IDX0:38,-0.30103,4,-8.30103,7.69897,-0.366489,1.70437,-3.77522,3.04225
OUT_INST:0_USECOL:2_DIRECT_IDX0:38,-0.30103,4,-8.30103,7.69897,-0.547616,3.93802,-8.42365,7.32842
IN_INST:0_USECOL:1_DIRECT_IDX0:39,-0.30103,4,-8.30103,7.69897,-0.350595,1.72101,-3.79261,3.09142
OUT_INST:0_USECOL:2_DIRECT_IDX0:39,-0.30103,4,-8.30103,7.69897,-0.532942,3.95245,-8.43784,7.37196
IN_INST:0_USECOL:1_DIRECT_IDX0:40,-0.30103,4,-8.30103,7.69897,-0.32821,1.73043,-3.78908,3.13266
OUT_INST:0_USECOL:2_DIRECT_IDX0:40,-0.30103,4,-8.30103,7.69897,-0.518416,3.96009,-8.4386,7.40177
IN_INST:0_USECOL:1_DIRECT_IDX0:41,-0.30103,4,-8.30103,7.69897,-0.314874,1.74098,-3.79684,3.16709
OUT_INST:0_USECOL:2_DIRECT_IDX0:41,-0.30103,4,-8.30103,7.69897,-0.50433,3.96384,-8.43202,7.42336
IN_INST:0_USECOL:1_DIRECT_IDX0:42,-0.30103,4,-8.30103,7.69897,-0.311711,1.75703,-3.82576,3.20234
OUT_INST:0_USECOL:2_DIRECT_IDX0:42,-0.30103,4,-8.30103,7.69897,-0.492297,3.96552,-8.42333,7.43874
