time,elapsed_seconds,message
21:51:51,4.19e-05,PEST++ performance logger started
21:51:51,0.0009333,starting to process control file
21:51:51,0.0030481,finished processing control file
21:51:51,0.0132522,loading parcov
21:51:51,0.0037728,beginning iteration 1
21:51:51,6.7e-05,commencing to build jacobian parameter sets
21:51:51,0.0163682,jacobian parameter sets built, commencing model runs
21:53:00,69.7861,jacobian runs complete, processing runs
21:53:00,0.0114197,processing jacobian runs complete
21:53:00,3.67e-05,saving jacobian and sen files
21:53:01,0.0224089,commencing calculation of upgrade vector
21:53:01,0.0089512,forming JtQJ matrix
21:53:01,0.005159,commencing to scale JtQJ matrix- first SVD...
21:53:01,3.51e-05,starting REDSVD
21:53:01,0.0067564,retrieving REDSVD components
21:53:01,0.0001704,triming REDSVD components to 56elements
21:53:01,8.15e-05,done REDSVD
21:53:01,0.0012652,S info: rows = 113: cols = 113: size = 12769: nonzeros = 113
21:53:01,1.95e-05,JS
21:53:01,0.0006661,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
21:53:01,0.0056647,S info: rows = 113: cols = 113: size = 12769: nonzeros = 113
21:53:01,8.48e-05,commencing SVD factorization of lambda-scaled JtQJ
21:53:01,1.87e-05,starting REDSVD
21:53:01,0.010394,retrieving REDSVD components
21:53:01,0.000194,triming REDSVD components to 45elements
21:53:01,7.07e-05,done REDSVD
21:53:01,5.23e-05,SVD factorization complete
21:53:01,0.004564,commencing linear algebra multiplication to compute ugrade
21:53:01,2e-05,S info: rows = 113: cols = 113: size = 12769: nonzeros = 113Vt info: rows = 45: cols = 113: size = 5085: nonzeros = 5085
21:53:01,1.55e-05,U info: rows = 113: cols = 45: size = 5085: nonzeros = 5085
21:53:01,2.04e-05,jac info: rows = 349: cols = 113: size = 39437: nonzeros = 32855
21:53:01,0.0010727,linear algebra multiplication to compute ugrade complete
21:53:01,0.000298,commencing check of parameter bounds and gradients
21:53:01,0.0020544,beginning upgrade vector calculations, lambda = 0.1
21:53:01,4.9e-05,commencing calculation of upgrade vector
21:53:01,0.0080599,forming JtQJ matrix
21:53:01,0.0051337,commencing to scale JtQJ matrix- first SVD...
21:53:01,2.35e-05,starting REDSVD
21:53:01,0.0053883,retrieving REDSVD components
21:53:01,0.0001458,triming REDSVD components to 56elements
21:53:01,7.47e-05,done REDSVD
21:53:01,0.0010718,S info: rows = 113: cols = 113: size = 12769: nonzeros = 113
21:53:01,1.89e-05,JS
