name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:30,-0.30103,4,-8.30103,7.69897,1.27882,2.45698,-3.63514,6.19278
OUT_INST:0_USECOL:2_DIRECT_IDX0:30,-0.30103,4,-8.30103,7.69897,-0.910337,3.80526,-8.52086,6.70018
IN_INST:0_USECOL:1_DIRECT_IDX0:31,-0.30103,4,-8.30103,7.69897,0.0698284,2.4699,-4.86997,5.00962
OUT_INST:0_USECOL:2_DIRECT_IDX0:31,-0.30103,4,-8.30103,7.69897,-1.08217,3.82877,-8.73971,6.57538
IN_INST:0_USECOL:1_DIRECT_IDX0:32,-0.30103,4,-8.30103,7.69897,0.214326,2.14186,-4.0694,4.49805
OUT_INST:0_USECOL:2_DIRECT_IDX0:32,-0.30103,4,-8.30103,7.69897,-1.13446,3.82949,-8.79344,6.52452
IN_INST:0_USECOL:1_DIRECT_IDX0:33,-0.30103,4,-8.30103,7.69897,0.0366267,2.11605,-4.19548,4.26873
OUT_INST:0_USECOL:2_DIRECT_IDX0:33,-0.30103,4,-8.30103,7.69897,-0.976989,3.80461,-8.58622,6.63224
IN_INST:0_USECOL:1_DIRECT_IDX0:34,-0.30103,4,-8.30103,7.69897,-0.0905986,2.15048,-4.39156,4.21037
OUT_INST:0_USECOL:2_DIRECT_IDX0:34,-0.30103,4,-8.30103,7.69897,-0.874529,3.78923,-8.45299,6.70393
IN_INST:0_USECOL:1_DIRECT_IDX0:35,-0.30103,4,-8.30103,7.69897,-0.165333,2.21103,-4.58739,4.25673
OUT_INST:0_USECOL:2_DIRECT_IDX0:35,-0.30103,4,-8.30103,7.69897,-0.806147,3.78466,-8.37547,6.76318
IN_INST:0_USECOL:1_DIRECT_IDX0:36,-0.30103,4,-8.30103,7.69897,-0.254797,2.27375,-4.80229,4.2927
OUT_INST:0_USECOL:2_DIRECT_IDX0:36,-0.30103,4,-8.30103,7.69897,-0.724424,3.78795,-8.30032,6.85147
