Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
30,0.04389931469070555,0.000465422685123788,0,0
31,0.0027131187262927656,0.0003133429546028171,0,0
32,0.003784130529371085,0.0002777946700877897,0,0
33,0.0025134315075283167,0.0003992045892048137,0,0
34,0.0018751751166232976,0.0005054235227056663,0,0
35,0.0015787265866241287,0.0005916130894841846,0,0
36,0.0012848243737358972,0.0007141025135159882,0,0
37,0.0009139749673716978,0.0008815461923591338,0,0
38,0.0008264068502608835,0.0010360708855565721,0,0
39,0.0007907670910083656,0.0011724949001374605,0,0
40,0.0008221742728663257,0.0012483987768682357,0,0
41,0.0008806795085170596,0.0012861707599543355,0,0
42,0.0009253661648483691,0.0013120985640031914,0,0
43,0.0009361785999224553,0.0013399500195538916,0,0
44,0.000904968556454437,0.0013698647249376693,0,0
45,0.0009481553352671682,0.0014027466552100855,0,0
46,0.0010174916709276367,0.0014416371396046939,0,0
47,0.0010621666543192223,0.0014863484098421023,0,0
48,0.0010526188405792173,0.0015354729916066854,0,0
49,0.0010177437169211826,0.001584880572351489,0,0
50,0.0009912336402619645,0.0016347172356633232,0,0
51,0.0009618544054537568,0.0016883918914304239,0,0
52,0.0009290065962105779,0.0017443194452670592,0,0
53,0.00093045126090838,0.0017983173324964438,0,0
54,0.0009538802024425973,0.0018572806994231457,0,0
55,0.0009872747530368495,0.001921065457058647,0,0
56,0.001003967028427604,0.00199031323060414,0,0
57,0.0010054750186195393,0.00206314642169435,0,0
58,0.0010037463636892053,0.0021359539252753337,0,0
59,0.0010058000729903222,0.002209212587544704,0,0
60,0.0009925454266356123,0.002283520751795312,0,0
61,0.000966641384845466,0.0023658773910042044,0,0
62,0.000977964474537873,0.002449483033821315,0,0
63,0.0010540065601200872,0.002521036940080843,0,0
64,0.0011282349214189144,0.0025887834445782977,0,0
65,0.0012007408486317712,0.0026576237293747616,0,0
66,0.0012844599995527042,0.0027070787444405824,0,0
67,0.0012938365483648093,0.0027585562723300185,0,0
68,0.0012601948167012492,0.002830685372722207,0,0
69,0.0012670939304107436,0.0028997338488595975,0,0
70,0.001301121437636505,0.002941258234693938,0,0
71,0.0012346010618715737,0.002993045466002573,0,0
72,0.0011612829912675388,0.003072183029870608,0,0
73,0.0011347653648725998,0.00313566533669663,0,0
74,0.001097154038895302,0.0032043035949575077,0,0
75,0.0010613123990438338,0.0032861303303972733,0,0
76,0.0010609734687962763,0.003352137378939851,0,0
77,0.0011181233119833779,0.0033040037684887572,0,0
78,0.0010835457382904626,0.0032207527754928474,0,0
79,0.001193569905025162,0.002934001838747085,0,0
80,0.0010423562359441405,0.002908517789979012,0,0
81,0.0010812300543819157,0.0032725410368309245,0,0
82,0.0018548390342081464,0.0025559992073321096,0,0
83,0.0013368096942389701,0.0009311963420845013,0,0
84,0.0001203650401391001,0.0012464532873110907,0,0
