Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
30,19.002788796,-0.1229313362399999,0,0
31,1.1744334165,-0.082762764562,0,0
32,1.6380445511,-0.0733734540359999,0,0
33,1.0879943896,-0.1054412583499999,0,0
34,0.8117110015899999,-0.13349669236,0,0
35,0.6833867021299999,-0.15626180234,0,0
36,0.55616463232,-0.1886147345299999,0,0
37,0.39563426883,-0.23284136087,0,0
38,0.3577284735699999,-0.2736557165599999,0,0
39,0.34230101593,-0.30968916947,0,0
40,0.35589630888,-0.32973753688,0,0
41,0.38122159344,-0.33971418929,0,0
42,0.4005652004699999,-0.34656245797,0,0
43,0.4052456020099999,-0.3539188175899999,0,0
44,0.39173564477,-0.36182014003,0,0
45,0.41042999666,-0.3705051907499999,0,0
46,0.4404437622899999,-0.3807772710899999,0,0
47,0.45978231643,-0.3925867861199999,0,0
48,0.4556493341899999,-0.4055619819399999,0,0
49,0.4405528659699999,-0.41861192582,0,0
50,0.4290773932599999,-0.43177520258,0,0
51,0.4163599420199999,-0.44595220204,0,0
52,0.4021410416599999,-0.4607242557999999,0,0
53,0.4027663967099999,-0.47498662986,0,0
54,0.4129081319699999,-0.4905605279899999,0,0
55,0.42736370141,-0.5074078922,0,0
56,0.4345893218099999,-0.52569819391,0,0
57,0.4352420886999999,-0.5449355061199999,0,0
58,0.4344938022,-0.56416603353,0,0
59,0.4353827956699999,-0.58351572475,0,0
60,0.42964522899,-0.60314261922,0,0
61,0.41843209187,-0.62489534428,0,0
62,0.42333354155,-0.6469779666299998,0,0
63,0.45625003927,-0.66587738342,0,0
64,0.4883814263399999,-0.68377115738,0,0
65,0.51976721974,-0.7019538297499999,0,0
66,0.5560069049,-0.71501630238,0,0
67,0.56006575133,-0.72861297803,0,0
68,0.5455031840999999,-0.74766431991,0,0
69,0.54848961798,-0.7659019815199999,0,0
70,0.5632191766899999,-0.77686974996,0,0
71,0.53442436155,-0.79054822707,0,0
72,0.50268701393,-0.8114507029999999,0,0
73,0.4912082731499999,-0.82821818137,0,0
74,0.47492737927,-0.8463474927999999,0,0
75,0.45941253315,-0.8679602552399999,0,0
76,0.4592658197,-0.88539458953,0,0
77,0.48400439267,-0.8726811373499999,0,0
78,0.4690367255299999,-0.85069218808,0,0
79,0.5166631182799999,-0.7749531299099999,0,0
80,0.45120693891,-0.76822206959,0,0
81,0.4680343305599999,-0.86437093725,0,0
82,0.80290807877,-0.67511191016,0,0
83,0.57866762748,-0.2459553741,0,0
84,0.052102668397,-0.32922367789,0,0
