Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
30,19.0027887960000008149563655024394393,-0.12293133623999999426423812565190019,0,0
31,1.17443341650000010467636002431390807,-0.08276276456200000464225041696408880,0,0
32,1.63804455109999991258007412398001179,-0.07337345403599999926758101764789899,0,0
33,1.08799438959999994480654095241334289,-0.10544125834999999724583830129631679,0,0
34,0.81171100158999998086528648855164647,-0.13349669236000000216435523725522216,0,0
35,0.68338670212999996778080458170734346,-0.15626180234000000557337273221492069,0,0
36,0.55616463232000001859489657363155857,-0.18861473452999999445012235810281709,0,0
37,0.39563426883000002431955977044708561,-0.23284136087000001369418100694019813,0,0
38,0.35772847356999998291726683419256005,-0.27365571655999998412767126865219325,0,0
39,0.34230101593000000770317114984209184,-0.30968916947000002526380058043287136,0,0
40,0.35589630888000001185389464808395132,-0.32973753688000001504931901763484348,0,0
41,0.38122159344000000613661427451006602,-0.33971418929000002373541633460263256,0,0
42,0.40056520046999999351555743487551808,-0.34656245797000001518384237897407729,0,0
43,0.40524560200999998338389218588417862,-0.35391881758999998996984004406840540,0,0
44,0.39173564477000000216833086597034708,-0.36182014003000001478582703384745400,0,0
45,0.41042999666000001823817910917568952,-0.37050519074999999080688439789810218,0,0
46,0.44044376228999998490465372924518306,-0.38077727108999998018035171298834030,0,0
47,0.45978231643000000428145312980632298,-0.39258678611999997531967210306902416,0,0
48,0.45564933418999997716269945158273913,-0.40556198193999998258263417483249214,0,0
49,0.44055286596999998494084138656035066,-0.41861192582000000816933038549905177,0,0
50,0.42907739325999999513427951569610741,-0.43177520258000001707188175714691170,0,0
51,0.41635994201999998454155615945637692,-0.44595220204000002306443661836965475,0,0
52,0.40214104165999997597680248873075470,-0.46072425579999998213054368534358218,0,0
53,0.40276639670999997422384808487549890,-0.47498662986000000918451746656501200,0,0
54,0.41290813196999998080372051845188253,-0.49056052798999999486895262634789106,0,0
55,0.42736370141000001865450030891224742,-0.50740789220000004355881628725910559,0,0
56,0.43458932180999998440285025935736485,-0.52569819390999994457303046146989800,0,0
57,0.43524208869999997384425682867004070,-0.54493550611999996835521642424282618,0,0
58,0.43449380220000000107916093838866800,-0.56416603353000005505180070031201467,0,0
59,0.43538279566999998904108792885381263,-0.58351572475000001993805653910385445,0,0
60,0.42964522899000001654457037147949450,-0.60314261922000000915033979254076257,0,0
61,0.41843209187000002247103225272439886,-0.62489534428000004240288944856729358,0,0
62,0.42333354155000002538855596867506392,-0.64697796662999995653819951257901266,0,0
63,0.45625003927000001846536747507343534,-0.66587738342000002411680270597571507,0,0
64,0.48838142633999997999083575450640637,-0.68377115738000004974139756086515263,0,0
65,0.51976721973999995274340335527085699,-0.70195382974999998015874780321610160,0,0
66,0.55600690490000004295723101677140221,-0.71501630238000002393050635873805732,0,0
67,0.56006575133000002786332061077700928,-0.72861297803000002470952267685788684,0,0
68,0.54550318409999998259252151910914108,-0.74766431991000004142478019275586121,0,0
69,0.54848961797999995493313463157392107,-0.76590198151999999698347210141946562,0,0
70,0.56321917668999998962675590519211255,-0.77686974996000002224860736532718875,0,0
71,0.53442436154999994890602010855218396,-0.79054822707000005355126859285519458,0,0
72,0.50268701393000003729838454091805033,-0.81145070299999999541284978477051482,0,0
73,0.49120827314999998547406789839442354,-0.82821818137000002835179657267872244,0,0
74,0.47492737927000000519583977620641235,-0.84634749279999998972101593608385883,0,0
75,0.45941253315000002421797375973255839,-0.86796025523999997819402096865815111,0,0
76,0.45926581970000002197451749452739023,-0.88539458953000005347888645701459609,0,0
77,0.48400439267000000542751081411552150,-0.87268113734999996911056996395927854,0,0
78,0.46903672552999997602540815933025442,-0.85069218808000002240987669210880995,0,0
79,0.51666311827999999994887048160308041,-0.77495312990999998259411540857399814,0,0
80,0.45120693891000002162527948712522630,-0.76822206958999994519388110347790644,0,0
81,0.46803433055999998924079363860073499,-0.86437093725000002653047204148606397,0,0
82,0.80290807877000003323075816297205165,-0.67511191016000005049590981798246503,0,0
83,0.57866762748000000193826508620986715,-0.24595537410000001266041635972214863,0,0
84,0.05210266839700000013335667858882516,-0.32922367789000001048194121722190175,0,0
