Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,640.9,494.08740209828477,449.93019014877996,178.66611272014723,63.7366873800455,31.16263433833645
30.46,535.6397435897435,551.366220815139,530.8014310943857,243.17050151086758,89.21502859988027,44.0083478460238
31.46,613.4620000000001,586.6330468527995,574.1227889584839,305.87141499179575,117.61391878208956,58.89881177365487
32.46,652.1435714285714,620.4867685033947,608.2467197966818,366.09105048523793,149.251348917444,76.20232319222585
33.46,658.4870212765958,641.9649501352401,632.168491943068,421.4410427068704,183.6891543029154,95.96959215600889
34.46,664.4052,653.1121667061477,646.3840834731793,470.25490103251155,220.31745378172286,118.16677270638574
35.46,665.36625,658.7979180831959,654.3970325015722,512.0004974324628,258.50542916973757,142.72343740436798
36.46,667.9079591836735,662.2552607775547,659.2119877931059,546.6282326692777,297.4652509007212,169.45083159818944
37.46,667.2885714285715,663.9749580892573,661.8287102126266,573.857719511651,336.0202235254552,197.8968770028237
38.46,667.7535294117647,665.3882469319965,663.617483463377,594.3444113869627,373.1835721606361,227.60080616166334
39.46,672.2992307692308,667.2925483559505,665.2632064633622,608.9815356404976,408.0288891272207,258.0125054585181
40.46,672.9684210526316,668.7465167224892,666.4907860924759,618.9157608152028,439.83985140813104,288.5572114539024
41.46,675.508,669.1134665771312,666.7997600546597,625.3783338288481,468.17830732535174,318.68831778849585
42.46,669.5,667.6086461686883,665.962065840856,629.4531024102803,492.840264433719,347.8930032966778
43.46,667.5879069767442,666.3408478460113,665.0946311147655,631.9012894243635,513.7501221325605,375.66168885393625
44.46,670.532105263158,666.7903175782211,665.1554826424153,633.0235106320774,530.8042274058037,401.41531865976884
45.46,673.3620833333333,668.2792182291008,666.0578748204247,633.2847955652921,544.2894961956797,424.8284764116302
46.46,675.4609523809524,669.5011173380766,667.0052236052024,633.2245005629542,554.7880052595234,445.8321020205848
47.46,673.6166666666667,669.61249236719,667.4051968593966,633.265846038394,562.9558363311485,464.4990593670269
48.46,672.2734210526315,669.4540722810882,667.5197155535134,633.5399200500193,569.29001215067,480.8813259101466
49.46,674.9566666666667,669.862358123959,667.7143940518785,633.9887393034328,574.1434831467666,495.0138613179054
50.46,674.9987234042553,669.5904383975559,667.5059752202341,634.5437896155026,577.835239933808,506.99771257322834
51.46,668.3911320754718,668.1677083990785,666.7526113164107,635.0787310455069,580.5787805660449,516.9346781949755
52.46,672.7832558139535,668.2975895877554,666.6260789499381,635.3848212902784,582.4434591922329,524.8780802925526
53.46,672.8312195121952,669.0544678620649,667.0883323530664,635.3915882215182,583.5555580743224,530.9912845680391
54.46,674.82,669.8329154774968,667.6021471064364,635.1516752764527,584.098312504949,535.5375534505926
55.46,674.57,669.698027950009,667.5223769085623,634.8141625839202,584.3043845136986,538.857455501644
56.46,670.8811428571429,668.535881992542,666.7777333859525,634.4724769310017,584.3295433789956,541.2361037679528
57.46,672.2436585365854,668.1134520843385,666.253763913885,634.1442221658835,584.2386999309468,542.8723802191914
58.46,671.852,667.9805699518973,665.9398646218623,633.8302792663959,584.0560626072902,543.91281579046
59.46,673.34,667.4737558674184,665.2903085491546,633.5707360873214,583.8075164831831,544.4843554358965
60.46,666.3468421052631,665.0456916291434,663.6939666047795,633.2980749568953,583.3789126108225,544.5598775438078
61.46,665.6282352941176,664.4951344980176,663.25090539799,632.7525435179584,582.443892115134,543.8907917995826
62.46,674.8957894736842,667.7780318590018,665.2725635181982,631.7613731756844,580.7478636382077,542.2755394018263
63.46,675.3369767441861,669.7569902813186,667.1391421426368,630.5315413831282,578.4252323155674,539.8633306346946
64.46000000000001,672.8042222222223,670.5267555730923,668.3478501117634,629.2401528466885,575.6710623194821,536.856003073351
65.46000000000001,683.4953846153846,674.0241823667453,670.5751502671194,628.0438450891747,572.7738322579555,533.5472548112712
66.46000000000001,678.2623809523809,672.8738292544723,670.0365049294317,627.3124100311079,570.3087910415366,530.5117929015563
67.46000000000001,671.5906060606061,669.3831491118062,667.5811769481653,626.9321531051023,568.4346540207642,527.9536005993998
68.46000000000001,674.3576190476191,669.5001324876598,667.1574700452605,626.399871646443,566.9183647907657,525.7313018056569
69.46000000000001,678.5794871794872,670.8366111222032,667.6209404924826,625.6302177506038,565.8379618452632,524.0097114068639
70.46000000000001,671.3916279069766,667.0374373027204,664.6664612590718,625.1394546970406,565.7331277097792,523.3858540415875
71.46000000000001,663.7891891891892,661.6024500920352,660.0678196330007,624.6396139139241,566.3102710957595,523.6674875030128
72.46000000000001,665.1295,660.1261412739984,657.9659416820481,623.7277758803142,567.0240556493559,524.3943335032093
73.46000000000001,661.1384210526315,657.4529435322956,655.527526126729,622.6223163382572,567.7240016932025,525.4135178353175
74.46000000000001,658.9425,655.3312090663081,653.5006488339873,621.429132819117,568.0501391463366,526.3047540957601
75.46000000000001,658.6289130434783,654.6569485620183,652.6932092423565,619.9511475193185,567.3625371909859,526.3207369918136
