time,elapsed_seconds,message
19:02:11,4.24e-05,PEST++ performance logger started
19:02:11,0.000974,starting to process control file
19:02:11,0.0020576,finished processing control file
19:02:11,0.0097069,loading parcov
19:02:11,0.0031927,beginning iteration 1
19:02:11,6.02e-05,commencing to build jacobian parameter sets
19:02:11,0.0070654,jacobian parameter sets built, commencing model runs
19:02:44,33.0907,jacobian runs complete, processing runs
19:02:44,0.0058065,processing jacobian runs complete
19:02:44,5.17e-05,saving jacobian and sen files
19:02:44,0.0062511,commencing calculation of upgrade vector
19:02:44,0.0013955,forming JtQJ matrix
19:02:44,0.0003757,commencing to scale JtQJ matrix- first SVD...
19:02:44,0.0002962,starting REDSVD
19:02:44,0.0015849,retrieving REDSVD components
19:02:44,5.63e-05,triming REDSVD components to 43elements
19:02:44,3.79e-05,done REDSVD
19:02:44,0.0002027,S info: rows = 47: cols = 47: size = 2209: nonzeros = 46
19:02:44,1.75e-05,JS
19:02:44,8.19e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
19:02:44,0.000392,S info: rows = 47: cols = 47: size = 2209: nonzeros = 46
19:02:44,1.85e-05,commencing SVD factorization of lambda-scaled JtQJ
19:02:44,1.39e-05,starting REDSVD
19:02:44,0.0016416,retrieving REDSVD components
19:02:44,4.96e-05,triming REDSVD components to 43elements
19:02:44,3.92e-05,done REDSVD
19:02:44,2.77e-05,SVD factorization complete
19:02:44,0.0022594,commencing linear algebra multiplication to compute ugrade
19:02:44,1.88e-05,S info: rows = 47: cols = 47: size = 2209: nonzeros = 46Vt info: rows = 43: cols = 47: size = 2021: nonzeros = 1978
19:02:44,1.49e-05,U info: rows = 47: cols = 43: size = 2021: nonzeros = 1978
19:02:44,1.59e-05,jac info: rows = 204: cols = 47: size = 9588: nonzeros = 5094
19:02:44,0.0002093,linear algebra multiplication to compute ugrade complete
19:02:44,0.0001134,commencing check of parameter bounds and gradients
19:02:44,0.0016274,beginning upgrade vector calculations, lambda = 0.1
19:02:44,4.4e-05,commencing calculation of upgrade vector
19:02:44,0.0013208,forming JtQJ matrix
19:02:44,0.0005716,commencing to scale JtQJ matrix- first SVD...
19:02:44,1.87e-05,starting REDSVD
19:02:44,0.0015663,retrieving REDSVD components
19:02:44,4.58e-05,triming REDSVD components to 43elements
19:02:44,3.49e-05,done REDSVD
19:02:44,0.00016,S info: rows = 47: cols = 47: size = 2209: nonzeros = 46
19:02:44,1.62e-05,JS
19:02:44,8.82e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
