iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
0,0,0.1,1,0.417439,0.5,1.04294,0.5,1.05945,0.5,0.944495,0.5,0.826128,0.5,0.723093,0.5,0.70454,0.5,2.26689,0.5,2.42764,0.5,2.36603,0.5,2.32472,0.5,2.28727,0.5,2.21387,0.5,1.88855,0.5,0.632253,0.5,0.343063,0.5,0.286509,0.5,0.273164,0.5,0.269427,0.5,0.268405,0.5,0.268965,0.5,0.293615,0.5,1.1,,,,1.25,1e-09,,,,,,
0,0,0.1,0.75,0.436704,0.5,0.867834,0.5,0.87812,0.5,0.805643,0.5,0.728665,0.5,0.659383,0.5,0.646653,0.5,1.55352,0.5,1.63542,0.5,1.6042,0.5,1.58315,0.5,1.56398,0.5,1.52618,0.5,1.35468,0.5,0.596225,0.5,0.37694,0.5,0.329304,0.5,0.317732,0.5,0.314466,0.5,0.313571,0.5,0.314061,0.5,0.33541,0.5,0.604011,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,1,1,0.476755,0.5,0.93325,0.5,0.917756,0.5,0.830951,0.5,0.743225,0.5,0.664494,0.5,0.645723,0.5,1.74962,0.5,1.83615,0.5,1.79285,0.5,1.7661,0.5,1.74261,0.5,1.69872,0.5,1.49912,0.5,0.596418,0.5,0.354956,0.5,0.29978,0.5,0.285013,0.5,0.280513,0.5,0.279246,0.5,0.280258,0.5,0.338237,0.5,1.1,,,,1.25,1e-09,,,,,,
0,0,1,0.75,0.482463,0.5,0.798438,0.5,0.788475,0.5,0.731853,0.5,0.673105,0.5,0.618886,0.5,0.605727,0.5,1.27923,0.5,1.3264,0.5,1.30287,0.5,1.28826,0.5,1.27539,0.5,1.25122,0.5,1.13925,0.5,0.570697,0.5,0.386699,0.5,0.340679,0.5,0.328013,0.5,0.324121,0.5,0.323023,0.5,0.3239,0.5,0.372957,0.5,0.604011,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,10,1,0.47711,0.5,0.68121,0.5,0.664746,0.5,0.63482,0.5,0.603511,0.5,0.571126,0.5,0.553267,0.5,0.88938,0.5,0.887385,0.5,0.876122,0.5,0.870793,0.5,0.866467,0.5,0.86018,0.5,0.833348,0.5,0.544672,0.5,0.395986,0.5,0.330207,0.5,0.300364,0.5,0.287404,0.5,0.282848,0.5,0.285089,0.5,0.438884,0.5,1.1,,,,1.25,1e-09,,,,,,
0,0,10,0.75,0.482732,0.5,0.630526,0.5,0.619063,0.5,0.59804,0.5,0.57578,0.5,0.552448,0.5,0.53944,0.5,0.770119,0.5,0.768824,0.5,0.761493,0.5,0.758016,0.5,0.755191,0.5,0.751077,0.5,0.733436,0.5,0.533143,0.5,0.419761,0.5,0.366296,0.5,0.341176,0.5,0.330074,0.5,0.326143,0.5,0.328078,0.5,0.453425,0.5,0.604011,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,100,1,0.459672,0.5,0.54961,0.5,0.54411,0.5,0.537693,0.5,0.53067,0.5,0.522632,0.5,0.515168,0.5,0.585235,0.5,0.581829,0.5,0.58007,0.5,0.579325,0.5,0.578712,0.5,0.577941,0.5,0.576424,0.5,0.515952,0.5,0.463535,0.5,0.425182,0.5,0.399348,0.5,0.384788,0.5,0.378812,0.5,0.377997,0.5,0.457833,0.5,0.663424,,,,1.25,1e-09,,,,,,
0,0,100,0.75,0.469439,0.5,0.536764,0.5,0.53273,0.5,0.528012,0.5,0.522831,0.5,0.51688,0.5,0.511333,0.5,0.562652,0.5,0.560195,0.5,0.558924,0.5,0.558386,0.5,0.557943,0.5,0.557385,0.5,0.556287,0.5,0.511917,0.5,0.472394,0.5,0.442765,0.5,0.422431,0.5,0.410827,0.5,0.406032,0.5,0.405376,0.5,0.468029,0.5,0.413374,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,1000,1,0.490963,0.5,0.5056,0.5,0.504982,0.5,0.504345,0.5,0.503641,0.5,0.502822,0.5,0.501991,0.5,0.50897,0.5,0.508594,0.5,0.50843,0.5,0.508362,0.5,0.508305,0.5,0.508233,0.5,0.508138,0.5,0.502133,0.5,0.496436,0.5,0.491894,0.5,0.488624,0.5,0.486699,0.5,0.485893,0.5,0.4857,0.5,0.490923,0.5,0.149559,,,,1.25,1e-09,,,,,,
0,0,1000,0.75,0.493207,0.5,0.504194,0.5,0.503732,0.5,0.503255,0.5,0.502728,0.5,0.502115,0.5,0.501493,0.5,0.506713,0.5,0.506432,0.5,0.50631,0.5,0.506258,0.5,0.506216,0.5,0.506162,0.5,0.506091,0.5,0.501599,0.5,0.497324,0.5,0.493908,0.5,0.491444,0.5,0.489991,0.5,0.489382,0.5,0.489236,0.5,0.493176,0.5,0.135242,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
