Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.01979651491189816,0.01131588889300424,0,0
21.25,0.07930584216066099,0.011829735358755688,0,0
23.75,0.0591968254292356,0.012165566069002385,0,0
26.25,0.04426851543803634,0.012699564671619453,0,0
28.75,0.03366180513637063,0.014009032384094592,0,0
31.25,0.03368543305714096,0.017578668779780985,0,0
33.75,0.09007050007058957,0.02857430848995623,0,0
36.25,2.4166002924700174,0.07350482701711883,0,0
38.75,0.29551961206305416,0.15074691636486662,0,0
41.25,0.11397406800087595,0.25933104366703735,0,0
43.75,0.08908834869206074,0.44231715834633906,0,0
46.25,0.10206098300951583,0.8246841304736,0,0
48.75,0.1298989529331997,1.147286016392665,0,0
51.25,0.095883108040078,0.561992820476521,0,0
53.75,0.017663166679610213,0.032736533423990986,0,0
56.25,0.007446965031881904,0.011949966887697965,0,0
58.75,0.004844729795089317,0.006941997146269318,0,0
61.25,0.0024832652657880857,0.0049628888084181505,0,0
63.75,0.0015199749422131763,0.004188404309552852,0,0
66.25,0.0012762581883016232,0.00416880753105582,0,0
68.75,0.0016160306772518332,0.005072727165815297,0,0
71.25,0.005748896007129994,0.007553085342838093,0,0
