Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.55692288268,-0.19601475123,0,0
21.25,2.2310612967,-0.20491564166,0,0
23.75,1.6653469972,-0.21073292864,0,0
26.25,1.2453782567,-0.21998289603,0,0
28.75,0.94698635776,-0.24266560265,0,0
31.25,0.94765106717,-0.3044991357199999,0,0
33.75,2.5338966362,-0.49496650446,0,0
36.25,67.984693627,-1.2732566145,0,0
38.75,8.313667075799998,-2.6112503922,0,0
41.25,3.2063606541,-4.4921535101,0,0
43.75,2.5062663902,-7.6618539275,0,0
46.25,2.871217339,-14.285245835,0,0
48.75,3.6543654096,-19.87338204,0,0
51.25,2.6974190744,-9.7348855172,0,0
53.75,0.49690674082,-0.56706490457,0,0
56.25,0.20950077583,-0.2069983020199999,0,0
58.75,0.1362937312599999,-0.1202498413099999,0,0
61.25,0.0698601373239999,-0.0859675651079999,0,0
63.75,0.0427604975009999,-0.07255188139,0,0
66.25,0.035904167599,-0.072212424393,0,0
68.75,0.045462772982,-0.087870194102,0,0
71.25,0.1617300697,-0.13083516094,0,0
