Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.55692288268000000872604005053290165961,-0.19601475123000000611028781349887140095,0,0
21.25,2.23106129670000008502483979100361466408,-0.20491564166000000857259522035747068003,0,0
23.75,1.66534699719999990108476595196407288313,-0.21073292864000001123336858199763810262,0,0
26.25,1.24537825670000001920811882882844656706,-0.21998289603000001357635539989132666960,0,0
28.75,0.94698635775999995267682152189081534743,-0.24266560265000000629065368684678105637,0,0
31.25,0.94765106717000002767292698990786448121,-0.30449913571999998040951140865217894316,0,0
33.75,2.53389663620000016308608792314771562815,-0.49496650446000001188906480820151045918,0,0
36.25,67.9846936269999986279799486510455608368,-1.27325661449999993912740592350019142032,0,0
38.75,8.31366707579999975052942318143323063850,-2.61125039220000010331546036468353122473,0,0
41.25,3.20636065410000004050061761518009006977,-4.49215351009999963594054861459881067276,0,0
43.75,2.50626639019999997159970916982274502516,-7.66185392750000016093281374196521937847,0,0
46.25,2.87121733900000020156539903837256133556,-14.2852458349999995590451362659223377705,0,0
48.75,3.65436540960000000310969880956690758467,-19.8733820399999991934691934147849678993,0,0
51.25,2.69741907439999994977597452816553413868,-9.73488551720000039324531826423481106758,0,0
53.75,0.49690674082000002576009478616470005363,-0.56706490457000002791687620629090815783,0,0
56.25,0.20950077583000001335555850801029009745,-0.20699830201999999679252084661129629239,0,0
58.75,0.13629373125999999505353343920432962477,-0.12024984130999999409894485324912238866,0,0
61.25,0.06986013732399999620614750028835260309,-0.08596756510799999362326673235656926408,0,0
63.75,0.04276049750099999990915478065289789811,-0.07255188139000000313583171873688115738,0,0
66.25,0.03590416759900000309713163915148470551,-0.07221242439300000481861019352436414920,0,0
68.75,0.04546277298200000066552561861499270890,-0.08787019410200000435473555171483894810,0,0
71.25,0.16173006970000000648290949811780592427,-0.13083516094000000040686870761419413611,0,0
