time,elapsed_seconds,message
17:41:31,4.09e-05,PEST++ performance logger started
17:41:31,0.0009245,starting to process control file
17:41:31,0.0022534,finished processing control file
17:41:31,0.010802,loading parcov
17:41:31,0.0025782,beginning iteration 1
17:41:31,4.96e-05,commencing to build jacobian parameter sets
17:41:31,0.0023042,jacobian parameter sets built, commencing model runs
17:41:39,7.62365,jacobian runs complete, processing runs
17:41:39,0.0003457,processing jacobian runs complete
17:41:39,3.32e-05,saving jacobian and sen files
17:41:39,0.0036673,commencing calculation of upgrade vector
17:41:39,0.0004188,forming JtQJ matrix
17:41:39,4.13e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,2.37e-05,starting REDSVD
17:41:39,0.0007465,retrieving REDSVD components
17:41:39,4.66e-05,triming REDSVD components to 1elements
17:41:39,1.75e-05,done REDSVD
17:41:39,2.06e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.3e-05,JS
17:41:39,2.29e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.99e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.32e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.27e-05,starting REDSVD
17:41:39,1.84e-05,retrieving REDSVD components
17:41:39,1.43e-05,triming REDSVD components to 1elements
17:41:39,1.28e-05,done REDSVD
17:41:39,1.31e-05,SVD factorization complete
17:41:39,0.0009887,commencing linear algebra multiplication to compute ugrade
17:41:39,2.06e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.56e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.7e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,0.0001236,linear algebra multiplication to compute ugrade complete
17:41:39,7.24e-05,commencing check of parameter bounds and gradients
17:41:39,0.0018619,beginning upgrade vector calculations, lambda = 0.01
17:41:39,6.46e-05,commencing calculation of upgrade vector
17:41:39,0.0005332,forming JtQJ matrix
17:41:39,3.26e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.42e-05,starting REDSVD
17:41:39,1.96e-05,retrieving REDSVD components
17:41:39,1.72e-05,triming REDSVD components to 1elements
17:41:39,1.47e-05,done REDSVD
17:41:39,1.68e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.23e-05,JS
17:41:39,1.8e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.74e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.28e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.17e-05,starting REDSVD
17:41:39,1.87e-05,retrieving REDSVD components
17:41:39,1.56e-05,triming REDSVD components to 1elements
17:41:39,1.26e-05,done REDSVD
17:41:39,1.18e-05,SVD factorization complete
17:41:39,0.0005645,commencing linear algebra multiplication to compute ugrade
17:41:39,1.69e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.54e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.47e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,0.0001133,linear algebra multiplication to compute ugrade complete
17:41:39,5.57e-05,commencing check of parameter bounds and gradients
17:41:39,2.5e-05,commencing calculation of upgrade vector
17:41:39,0.0004031,forming JtQJ matrix
17:41:39,3.04e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.38e-05,starting REDSVD
17:41:39,1.83e-05,retrieving REDSVD components
17:41:39,1.51e-05,triming REDSVD components to 1elements
17:41:39,1.27e-05,done REDSVD
17:41:39,1.59e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.2e-05,JS
17:41:39,1.79e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,3.01e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.46e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.25e-05,starting REDSVD
17:41:39,1.85e-05,retrieving REDSVD components
17:41:39,1.39e-05,triming REDSVD components to 1elements
17:41:39,3.09e-05,done REDSVD
17:41:39,1.49e-05,SVD factorization complete
17:41:39,0.0005873,commencing linear algebra multiplication to compute ugrade
17:41:39,1.47e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.39e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.37e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.72e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.78e-05,commencing check of parameter bounds
17:41:39,2.47e-05,limiting out of bounds pars
17:41:39,4.68e-05,checking for denormal floating point values
17:41:39,1.35e-05,transforming upgrade pars to model pars
17:41:39,2.18e-05,writing upgrade vector to csv file
17:41:39,0.0026822,beginning upgrade vector calculations, lambda = 0.1
17:41:39,3.43e-05,commencing calculation of upgrade vector
17:41:39,0.0004043,forming JtQJ matrix
17:41:39,3.08e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.32e-05,starting REDSVD
17:41:39,1.84e-05,retrieving REDSVD components
17:41:39,1.52e-05,triming REDSVD components to 1elements
17:41:39,1.26e-05,done REDSVD
17:41:39,1.57e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.36e-05,JS
17:41:39,1.89e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.89e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.31e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.13e-05,starting REDSVD
17:41:39,1.65e-05,retrieving REDSVD components
17:41:39,1.52e-05,triming REDSVD components to 1elements
17:41:39,1.43e-05,done REDSVD
17:41:39,1.29e-05,SVD factorization complete
17:41:39,0.0005181,commencing linear algebra multiplication to compute ugrade
17:41:39,1.44e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.33e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.51e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.89e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.55e-05,commencing check of parameter bounds and gradients
17:41:39,2.4e-05,commencing calculation of upgrade vector
17:41:39,0.0004039,forming JtQJ matrix
17:41:39,2.92e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.33e-05,starting REDSVD
17:41:39,1.96e-05,retrieving REDSVD components
17:41:39,1.57e-05,triming REDSVD components to 1elements
17:41:39,1.3e-05,done REDSVD
17:41:39,1.54e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.17e-05,JS
17:41:39,1.73e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.6e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.22e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.27e-05,starting REDSVD
17:41:39,1.77e-05,retrieving REDSVD components
17:41:39,1.49e-05,triming REDSVD components to 1elements
17:41:39,1.18e-05,done REDSVD
17:41:39,1.13e-05,SVD factorization complete
17:41:39,0.0005037,commencing linear algebra multiplication to compute ugrade
17:41:39,1.55e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.52e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.32e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.66e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.45e-05,commencing check of parameter bounds
17:41:39,2.3e-05,limiting out of bounds pars
17:41:39,4.57e-05,checking for denormal floating point values
17:41:39,1.42e-05,transforming upgrade pars to model pars
17:41:39,2.25e-05,writing upgrade vector to csv file
17:41:39,0.0018894,beginning upgrade vector calculations, lambda = 1
17:41:39,3.6e-05,commencing calculation of upgrade vector
17:41:39,0.0004044,forming JtQJ matrix
17:41:39,3.04e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.36e-05,starting REDSVD
17:41:39,1.85e-05,retrieving REDSVD components
17:41:39,3.8e-05,triming REDSVD components to 1elements
17:41:39,1.64e-05,done REDSVD
17:41:39,1.72e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.21e-05,JS
17:41:39,1.78e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.69e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.26e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.11e-05,starting REDSVD
17:41:39,1.89e-05,retrieving REDSVD components
17:41:39,1.52e-05,triming REDSVD components to 1elements
17:41:39,1.22e-05,done REDSVD
17:41:39,1.14e-05,SVD factorization complete
17:41:39,0.0005096,commencing linear algebra multiplication to compute ugrade
17:41:39,1.58e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.43e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.33e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.75e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.58e-05,commencing check of parameter bounds and gradients
17:41:39,2.47e-05,commencing calculation of upgrade vector
17:41:39,0.0004048,forming JtQJ matrix
17:41:39,3.17e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.4e-05,starting REDSVD
17:41:39,1.82e-05,retrieving REDSVD components
17:41:39,1.51e-05,triming REDSVD components to 1elements
17:41:39,1.27e-05,done REDSVD
17:41:39,1.56e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.18e-05,JS
17:41:39,1.93e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.8e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.36e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.2e-05,starting REDSVD
17:41:39,1.67e-05,retrieving REDSVD components
17:41:39,1.4e-05,triming REDSVD components to 1elements
17:41:39,1.22e-05,done REDSVD
17:41:39,1.19e-05,SVD factorization complete
17:41:39,0.0005377,commencing linear algebra multiplication to compute ugrade
17:41:39,1.46e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.33e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.34e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.75e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.79e-05,commencing check of parameter bounds
17:41:39,2.51e-05,limiting out of bounds pars
17:41:39,4.56e-05,checking for denormal floating point values
17:41:39,1.36e-05,transforming upgrade pars to model pars
17:41:39,2.25e-05,writing upgrade vector to csv file
17:41:39,0.001828,beginning upgrade vector calculations, lambda = 10
17:41:39,3.23e-05,commencing calculation of upgrade vector
17:41:39,0.0004486,forming JtQJ matrix
17:41:39,3.13e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.34e-05,starting REDSVD
17:41:39,1.8e-05,retrieving REDSVD components
17:41:39,1.47e-05,triming REDSVD components to 1elements
17:41:39,1.23e-05,done REDSVD
17:41:39,1.55e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.17e-05,JS
17:41:39,1.73e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.9e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.41e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.18e-05,starting REDSVD
17:41:39,1.66e-05,retrieving REDSVD components
17:41:39,1.41e-05,triming REDSVD components to 1elements
17:41:39,1.21e-05,done REDSVD
17:41:39,1.13e-05,SVD factorization complete
17:41:39,0.0005116,commencing linear algebra multiplication to compute ugrade
17:41:39,1.44e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.33e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.33e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.77e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.69e-05,commencing check of parameter bounds and gradients
17:41:39,2.71e-05,commencing calculation of upgrade vector
17:41:39,0.0004047,forming JtQJ matrix
17:41:39,2.91e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.33e-05,starting REDSVD
17:41:39,1.77e-05,retrieving REDSVD components
17:41:39,1.47e-05,triming REDSVD components to 1elements
17:41:39,1.25e-05,done REDSVD
17:41:39,1.71e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.31e-05,JS
17:41:39,1.83e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.64e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.25e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.13e-05,starting REDSVD
17:41:39,1.65e-05,retrieving REDSVD components
17:41:39,1.4e-05,triming REDSVD components to 1elements
17:41:39,1.39e-05,done REDSVD
17:41:39,1.31e-05,SVD factorization complete
17:41:39,0.0005152,commencing linear algebra multiplication to compute ugrade
17:41:39,1.44e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1Vt info: rows = 1: cols = 2: size = 2: nonzeros = 1
17:41:39,1.5e-05,U info: rows = 2: cols = 1: size = 2: nonzeros = 1
17:41:39,1.48e-05,jac info: rows = 323: cols = 2: size = 646: nonzeros = 286
17:41:39,7.75e-05,linear algebra multiplication to compute ugrade complete
17:41:39,5.58e-05,commencing check of parameter bounds
17:41:39,2.33e-05,limiting out of bounds pars
17:41:39,4.37e-05,checking for denormal floating point values
17:41:39,1.32e-05,transforming upgrade pars to model pars
17:41:39,2.21e-05,writing upgrade vector to csv file
17:41:39,0.0018185,beginning upgrade vector calculations, lambda = 100
17:41:39,3.53e-05,commencing calculation of upgrade vector
17:41:39,0.0004026,forming JtQJ matrix
17:41:39,3.01e-05,commencing to scale JtQJ matrix- first SVD...
17:41:39,1.35e-05,starting REDSVD
17:41:39,1.79e-05,retrieving REDSVD components
17:41:39,1.49e-05,triming REDSVD components to 1elements
17:41:39,1.41e-05,done REDSVD
17:41:39,1.69e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.28e-05,JS
17:41:39,1.76e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
17:41:39,2.67e-05,S info: rows = 2: cols = 2: size = 4: nonzeros = 1
17:41:39,1.26e-05,commencing SVD factorization of lambda-scaled JtQJ
17:41:39,1.11e-05,starting REDSVD
17:41:39,1.67e-05,retrieving REDSVD components
17:41:39,1.58e-05,triming REDSVD components to 1elements
17:41:39,1.35e-05,done REDSVD
17:41:39,1.18e-05,SVD factorization complete
