iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,exp_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
0,0,0.01,1,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.75301,-1,,,,,,,,,,,
0,0,0.01,0.5,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.64803,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,0.01,0.75,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.15454,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,0.1,1,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.7532,-1,,,,,,,,,,,
0,0,0.1,0.5,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.64817,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,0.1,0.75,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.15471,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,1,1,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.75504,-1,,,,,,,,,,,
0,0,1,0.5,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.64956,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,1,0.75,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,2.15641,-1,71.25,2.5,0.0314159,1.25,1e-09,0,28.5,0.2,1.5,0,2
0,0,10,1,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.04545,1.77333,-1,,,,,,,,,,,
