Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
2.5,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,0.0,2.842170943040401e-14,2.842170943040401e-14,7.105427357601002e-14,7.105427357601002e-14
2.5,0.0,0.0,0.0,-5.684341886080802e-14,-2.842170943040401e-14,-8.526512829121202e-14,-1.5631940186722204e-13,-1.0658141036401503e-13
2.5,0.0,0.0,0.0,5.684341886080802e-14,-5.684341886080802e-14,0.0,1.1368683772161603e-13,1.1723955140041653e-13
2.5,0.0,0.0,0.0,0.0,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,4.973799150320701e-14
2.5,5.684341886080802e-14,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,-3.907985046680551e-14
2.5,-5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,0.0,-5.684341886080802e-14,-1.9895196601282805e-13,-1.8829382497642655e-13
2.5,0.0,0.0,0.0,-5.684341886080802e-14,-2.842170943040401e-14,-2.842170943040401e-14,9.947598300641403e-14,1.2789769243681803e-13
2.5,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13,2.842170943040401e-14,2.842170943040401e-14,5.684341886080802e-14,4.263256414560601e-14
2.5,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-1.1368683772161603e-13,0.0,-2.842170943040401e-14,0.0,1.4210854715202004e-14
2.5,0.0,0.0,0.0,0.0,-2.842170943040401e-14,0.0,-1.1368683772161603e-13,-1.3500311979441904e-13
2.5,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,-8.526512829121202e-14,-2.842170943040401e-14
2.5,-5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,2.842170943040401e-14,2.842170943040401e-14,1.5631940186722204e-13,1.1723955140041653e-13
2.5,0.0,0.0,0.0,-5.684341886080802e-14,0.0,-2.842170943040401e-14,-2.842170943040401e-14,1.7763568394002505e-14
2.5,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13,5.684341886080802e-14,8.526512829121202e-14,-8.526512829121202e-14,-1.3500311979441904e-13
2.5,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-1.1368683772161603e-13,-8.526512829121202e-14,-1.1368683772161603e-13,8.526512829121202e-14,9.947598300641403e-14
2.5,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.5631940186722204e-13,1.0302869668521453e-13
2.5,0.0,0.0,0.0,-5.684341886080802e-14,-8.526512829121202e-14,-8.526512829121202e-14,-1.5631940186722204e-13,-9.592326932761353e-14
2.5,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,8.526512829121202e-14,0.0,-7.815970093361102e-14
2.5,5.684341886080802e-14,0.0,0.0,-5.684341886080802e-14,-2.842170943040401e-14,-1.1368683772161603e-13,-2.842170943040401e-14,2.842170943040401e-14
2.5,0.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,2.842170943040401e-14,4.973799150320701e-14
2.5,5.684341886080802e-14,4.547473508864641e-13,1.1937117960769683e-12,1.7621459846850485e-12,2.0463630789890885e-12,2.0747847884194925e-12,1.7479351299698465e-12,6.927791673660977e-13
