Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,494.63687760940167,448.8863865126261,381.8436770106937,291.6086377700241,222.69716464606714,170.0714592788223,99.18856729067689,19.676663881785217
21.25,494.6368776094016,448.88638651262596,381.84367701069357,291.6086377700241,222.69716464606716,170.07145927882232,99.18856729067696,19.676663881785288
23.75,494.6368776094016,448.88638651262596,381.84367701069357,291.608637770024,222.69716464606714,170.07145927882223,99.1885672906768,19.67666388178518
26.25,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.6971646460671,170.07145927882223,99.18856729067691,19.6766638817853
28.75,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.6971646460672,170.07145927882232,99.18856729067701,19.67666388178535
31.25,494.63687760940167,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606716,170.07145927882235,99.188567290677,19.67666388178531
33.75,494.6368776094016,448.886386512626,381.8436770106936,291.60863777002413,222.6971646460672,170.07145927882232,99.1885672906768,19.676663881785117
36.25,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.0714592788223,99.1885672906769,19.676663881785252
38.75,494.63687760940167,448.8863865126261,381.8436770106937,291.6086377700242,222.69716464606722,170.07145927882232,99.18856729067696,19.67666388178529
41.25,494.6368776094016,448.88638651262596,381.84367701069357,291.6086377700241,222.69716464606716,170.0714592788223,99.18856729067697,19.676663881785302
43.75,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.0714592788223,99.18856729067683,19.676663881785174
46.25,494.63687760940167,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.0714592788223,99.18856729067676,19.676663881785146
48.75,494.6368776094016,448.886386512626,381.8436770106936,291.60863777002413,222.6971646460672,170.07145927882232,99.18856729067693,19.67666388178526
51.25,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606716,170.0714592788223,99.18856729067689,19.676663881785274
53.75,494.63687760940167,448.8863865126261,381.8436770106937,291.6086377700242,222.69716464606725,170.07145927882235,99.18856729067681,19.676663881785142
56.25,494.6368776094016,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.07145927882226,99.18856729067689,19.67666388178524
58.75,494.63687760940167,448.8863865126261,381.8436770106937,291.6086377700242,222.69716464606728,170.07145927882237,99.18856729067704,19.676663881785345
61.25,494.63687760940167,448.8863865126261,381.8436770106937,291.60863777002413,222.6971646460672,170.0714592788223,99.18856729067689,19.67666388178525
63.75,494.6368776094016,448.886386512626,381.8436770106936,291.60863777002413,222.6971646460672,170.07145927882235,99.18856729067687,19.67666388178517
66.25,494.63687760940167,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.07145927882226,99.18856729067686,19.676663881785196
68.75,494.63687760940167,448.886386512626,381.8436770106936,291.6086377700241,222.69716464606714,170.07145927882223,99.18856729067687,19.676663881785252
71.25,494.6368776094017,448.88638651262653,381.84367701069476,291.60863777002584,222.69716464606918,170.0714592788243,99.18856729067863,19.67666388178594
