name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:18.75,-0.30103,4,-8.30103,7.69897,-0.45487,3.99986,-8.45459,7.54485
OUT_INST:0_USECOL:2_DIRECT_IDX0:18.75,-0.30103,4,-8.30103,7.69897,-0.300911,3.99967,-8.30026,7.69843
IN_INST:0_USECOL:1_DIRECT_IDX0:18.95,-0.30103,4,-8.30103,7.69897,-0.398507,3.99982,-8.39814,7.60113
OUT_INST:0_USECOL:2_DIRECT_IDX0:18.95,-0.30103,4,-8.30103,7.69897,-0.316241,3.9997,-8.31563,7.68315
IN_INST:0_USECOL:1_DIRECT_IDX0:19.15,-0.30103,4,-8.30103,7.69897,-0.357294,3.99978,-8.35685,7.64226
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.15,-0.30103,4,-8.30103,7.69897,-0.327247,3.99971,-8.32667,7.67217
IN_INST:0_USECOL:1_DIRECT_IDX0:19.35,-0.30103,4,-8.30103,7.69897,-0.326948,3.99975,-8.32644,7.67254
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.35,-0.30103,4,-8.30103,7.69897,-0.334978,3.99972,-8.33442,7.66446
IN_INST:0_USECOL:1_DIRECT_IDX0:19.55,-0.30103,4,-8.30103,7.69897,-0.304527,3.99972,-8.30396,7.69491
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.55,-0.30103,4,-8.30103,7.69897,-0.340204,3.99973,-8.33966,7.65925
IN_INST:0_USECOL:1_DIRECT_IDX0:19.75,-0.30103,4,-8.30103,7.69897,-0.28789,3.9997,-8.28728,7.7115
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.75,-0.30103,4,-8.30103,7.69897,-0.343446,3.99973,-8.34291,7.65602
IN_INST:0_USECOL:1_DIRECT_IDX0:19.95,-0.30103,4,-8.30103,7.69897,-0.275457,3.99968,-8.27481,7.7239
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.95,-0.30103,4,-8.30103,7.69897,-0.345029,3.99973,-8.3445,7.65444
IN_INST:0_USECOL:1_DIRECT_IDX0:20.15,-0.30103,4,-8.30103,7.69897,-0.266051,3.99966,-8.26538,7.73327
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.15,-0.30103,4,-8.30103,7.69897,-0.345112,3.99973,-8.34458,7.65435
IN_INST:0_USECOL:1_DIRECT_IDX0:20.35,-0.30103,4,-8.30103,7.69897,-0.258782,3.99965,-8.25808,7.74052
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.35,-0.30103,4,-8.30103,7.69897,-0.343703,3.99973,-8.34317,7.65576
IN_INST:0_USECOL:1_DIRECT_IDX0:20.55,-0.30103,4,-8.30103,7.69897,-0.252959,3.99964,-8.25224,7.74632
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.55,-0.30103,4,-8.30103,7.69897,-0.340667,3.99973,-8.34012,7.65879
IN_INST:0_USECOL:1_DIRECT_IDX0:20.75,-0.30103,4,-8.30103,7.69897,-0.247968,3.99963,-8.24723,7.7513
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.75,-0.30103,4,-8.30103,7.69897,-0.335759,3.99972,-8.3352,7.66368
IN_INST:0_USECOL:1_DIRECT_IDX0:20.95,-0.30103,4,-8.30103,7.69897,-0.242618,3.99962,-8.24187,7.75663
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.95,-0.30103,4,-8.30103,7.69897,-0.329212,3.99971,-8.32864,7.67021
IN_INST:0_USECOL:1_DIRECT_IDX0:21.15,-0.30103,4,-8.30103,7.69897,-0.227848,2.92203,-6.07192,5.61622
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.15,-0.30103,4,-8.30103,7.69897,-0.328977,2.48836,-5.30569,4.64774
IN_INST:0_USECOL:1_DIRECT_IDX0:21.35,-0.30103,4,-8.30103,7.69897,-0.235679,3.99961,-8.2349,7.76355
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.35,-0.30103,4,-8.30103,7.69897,-0.331295,3.99972,-8.33073,7.66814
IN_INST:0_USECOL:1_DIRECT_IDX0:21.55,-0.30103,4,-8.30103,7.69897,-0.233434,3.99961,-8.23265,7.76578
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.55,-0.30103,4,-8.30103,7.69897,-0.340133,3.99973,-8.33959,7.65932
IN_INST:0_USECOL:1_DIRECT_IDX0:21.75,-0.30103,4,-8.30103,7.69897,-0.22946,3.9996,-8.22866,7.76974
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.75,-0.30103,4,-8.30103,7.69897,-0.347769,3.99974,-8.34724,7.6517
IN_INST:0_USECOL:1_DIRECT_IDX0:21.95,-0.30103,4,-8.30103,7.69897,-0.224103,3.99959,-8.22328,7.77508
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.95,-0.30103,4,-8.30103,7.69897,-0.354244,3.99974,-8.35373,7.64524
IN_INST:0_USECOL:1_DIRECT_IDX0:22.15,-0.30103,4,-8.30103,7.69897,-0.216922,3.99958,-8.21608,7.78223
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.15,-0.30103,4,-8.30103,7.69897,-0.360146,3.99975,-8.35965,7.63936
IN_INST:0_USECOL:1_DIRECT_IDX0:22.35,-0.30103,4,-8.30103,7.69897,-0.207249,3.99956,-8.20636,7.79187
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.35,-0.30103,4,-8.30103,7.69897,-0.366059,3.99976,-8.36557,7.63346
IN_INST:0_USECOL:1_DIRECT_IDX0:22.55,-0.30103,4,-8.30103,7.69897,-0.194174,3.99953,-8.19323,7.80489
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.55,-0.30103,4,-8.30103,7.69897,-0.372574,3.99976,-8.3721,7.62696
IN_INST:0_USECOL:1_DIRECT_IDX0:22.75,-0.30103,4,-8.30103,7.69897,-0.17646,3.99949,-8.17544,7.82252
