Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.2602410352599999,-0.4664928907399999,18.75,21.25
18.95,0.31295892181,-0.4575471951799999,21.25,23.75
19.15,0.36244062778,-0.4502016825199999,23.75,26.25
19.35,0.4073294760699999,-0.44453342259,26.25,28.75
19.55,0.44687855105,-0.44052694731,28.75,31.25
19.75,0.48089298807,-0.43814693425,31.25,33.75
19.95,0.5095955618699999,-0.43738130795,33.75,36.25
20.15,0.5334755655399999,-0.43826794378,36.25,38.75
20.35,0.5531572972499998,-0.4409132700799999,38.75,41.25
20.55,0.56930298149,-0.4455079044699999,41.25,43.75
20.75,0.5825526403299999,-0.45234381265,43.75,46.25
20.95,0.5934877123599999,-0.4618505097,46.25,48.75
21.15,0.6024125708799999,-0.47483563358,48.75,51.25
21.35,0.61982731292,-0.45653893069,51.25,53.75
21.55,0.6372316130799999,-0.44164981392,53.75,56.25
21.75,0.65608762342,-0.4289367908799999,56.25,58.75
21.95,0.67782099373,-0.4175584060599999,58.75,61.25
22.15,0.70413607556,-0.4067934937,61.25,63.75
22.35,0.7371833577899999,-0.39598586255,63.75,66.25
22.55,0.77980948343,-0.38451622129,66.25,68.75
22.75,0.83596869086,-0.37178507276,68.75,71.25
22.95,0.9114518173,-0.35720420391,71.25,73.75
23.15,1.0153189459,-0.3401933752899999,71.25,73.75
23.35,1.1629716968,-0.3201787931999999,71.25,73.75
23.55,1.3816012767,-0.2966659167399999,71.25,73.75
23.75,1.1768497757,-0.31731201244,71.25,73.75
23.95,1.0404625313,-0.33391224315,71.25,73.75
24.15,0.94735819993,-0.3467804650599999,71.25,73.75
24.35,0.8835339977599999,-0.35624205452,71.25,73.75
24.55,0.8410996970799999,-0.3625567797099999,71.25,73.75
24.75,0.81545322876,-0.3659104399199999,71.25,73.75
24.95,0.80402227375,-0.36640413477,71.25,73.75
25.15,0.8057095469899999,-0.3640456217499999,71.25,73.75
25.35,0.8207146568199999,-0.35874639982,71.25,73.75
25.55,0.85067500376,-0.3503244940699999,71.25,73.75
25.75,0.8992942043399998,-0.3385095580899999,71.25,73.75
25.95,0.97400916528,-0.32294713869,71.25,73.75
26.15,1.0892380894,-0.30327812306,71.25,73.75
26.35,0.96670977722,-0.3231008177099999,71.25,73.75
26.55,0.88546143444,-0.3388397747299999,71.25,73.75
26.75,0.8301467986599999,-0.35085788871,71.25,73.75
26.95,0.7926166721299999,-0.35951426305,71.25,73.75
27.15,0.76847240525,-0.36508347727,71.25,73.75
27.35,0.7552801974999999,-0.36774955983,71.25,73.75
27.55,0.7518374873099999,-0.36759811565,71.25,73.75
27.75,0.75791278741,-0.36460880999,71.25,73.75
27.95,0.77428133054,-0.35864973424,71.25,73.75
28.15,0.80313078788,-0.34947029399,71.25,73.75
28.35,0.8492166717,-0.3366889152099999,71.25,73.75
28.55,0.92220993181,-0.3198547864899999,71.25,73.75
28.75,0.8400990366599999,-0.33799447578,71.25,73.75
28.95,0.7854646178499999,-0.35227801532,71.25,73.75
29.15,0.74761876112,-0.3632235168599999,71.25,73.75
29.35,0.72097853157,-0.37129974441,71.25,73.75
29.55,0.70251813874,-0.3768611354299999,71.25,73.75
29.75,0.69048820753,-0.3801569998,71.25,73.75
29.95,0.6838844269599998,-0.38133392912,71.25,73.75
30.15,0.68223383255,-0.3804335173499999,71.25,73.75
30.35,0.68554122509,-0.37738778876,71.25,73.75
30.55,0.69437372858,-0.3720111817799999,71.25,73.75
30.75,0.7101738777699999,-0.36398428954,71.25,73.75
30.95,0.73607821658,-0.3528246313499999,71.25,73.75
31.15,0.7785934837,-0.33792600229,71.25,73.75
31.35,0.72973218785,-0.3531139256299999,71.25,73.75
31.55,0.69761139503,-0.3645978996099999,71.25,73.75
31.75,0.6751174852,-0.37299477318,71.25,73.75
31.95,0.6586029693,-0.3788000852699999,71.25,73.75
32.15,0.6461102444799999,-0.3823470000499999,71.25,73.75
32.35,0.6365009518399999,-0.3838333495599999,71.25,73.75
32.55,0.62910512854,-0.3833343534099999,71.25,73.75
32.75,0.6236019526999999,-0.38080427166,71.25,73.75
32.95,0.6200385809199999,-0.37606898822,71.25,73.75
33.15,0.61900859856,-0.3688053513799999,71.25,73.75
33.35,0.6221316222499998,-0.35850080342,71.25,73.75
33.55,0.6330287414499999,-0.3444704460499999,71.25,73.75
33.75,0.6131943928699999,-0.35911875568,71.25,73.75
33.95,0.60078980488,-0.3701248458499999,71.25,73.75
34.15,0.59145606083,-0.3782121594999999,71.25,73.75
34.35,0.5828971690599999,-0.38394295808,71.25,73.75
34.55,0.5738092371999999,-0.38770126031,71.25,73.75
34.75,0.5633519678099999,-0.38973416235,71.25,73.75
34.95,0.5509305604399999,-0.39017378258,71.25,73.75
35.15,0.53612049198,-0.38904606665,71.25,73.75
35.35,0.5186672520199999,-0.3862711866899999,71.25,73.75
35.55,0.49853654326,-0.3816555368199999,71.25,73.75
35.75,0.4760088473299999,-0.3748708106599999,71.25,73.75
35.95,0.4518216549399999,-0.3654149864299999,71.25,73.75
36.15,0.4273376604699999,-0.35263746992,71.25,73.75
36.35,0.4793103074899999,-0.37394039795,71.25,73.75
36.55,0.53769406104,-0.3932234901,71.25,73.75
36.75,0.60420513362,-0.4117834104399999,71.25,73.75
36.95,0.6824023047499999,-0.43101415436,71.25,73.75
37.15,0.77832428775,-0.45245320893,71.25,73.75
37.35,0.9016568348,-0.4779543581199999,71.25,73.75
37.55,1.0679372884,-0.50993465765,71.25,73.75
37.75,1.3027301357,-0.55176498204,71.25,73.75
37.95,1.6496863069,-0.60844459469,71.25,73.75
38.15,2.1864120994,-0.6878616978899998,71.25,73.75
38.35,3.0548410881,-0.8033518095399999,71.25,73.75
38.55,4.4962018957,-0.97913697089,71.25,73.75
38.75,3.067445291,-0.8138638489899999,71.25,73.75
38.95,2.2038083284,-0.70663677273,71.25,73.75
39.15,1.668696536,-0.63502318381,71.25,73.75
39.35,1.3220968731,-0.58679532166,71.25,73.75
39.55,1.0870840052,-0.5549303928,71.25,73.75
39.75,0.92014333815,-0.53525865611,71.25,73.75
39.95,0.7955676635399999,-0.5253222724799999,71.25,73.75
40.15,0.69748709469,-0.5237877258199999,71.25,73.75
40.35,0.61571013044,-0.53013227735,71.25,73.75
40.55,0.5434974422499999,-0.5444713948799998,71.25,73.75
