Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.26024103525999997543749486794695258141,-0.46649289073999999910569158600992523134,18.75,21.25
18.95,0.31295892181000001253110553989245090634,-0.45754719517999997702162318091723136604,21.25,23.75
19.15,0.36244062778000002422729153295222204179,-0.45020168251999997943713083259353879839,23.75,26.25
19.35,0.40732947606999997391952206271525938064,-0.44453342259000000469271185465913731605,26.25,28.75
19.55,0.44687855105000001687542976469558198005,-0.44052694731000002770215928649122361094,28.75,31.25
19.75,0.48089298807000002700107188502443023026,-0.43814693425000000859270699038461316377,31.25,33.75
19.95,0.50959556186999999116693516043596901000,-0.43738130795000002004613293138390872627,33.75,36.25
20.15,0.53347556553999997408510580498841591179,-0.43826794378000000218520426642498932779,36.25,38.75
20.35,0.55315729724999995742251712727011181414,-0.44091327007999997489307020259730052203,38.75,41.25
20.55,0.56930298149000002627673211463843472302,-0.44550790446999999350197185776778496802,41.25,43.75
20.75,0.58255264032999998224937598934047855437,-0.45234381265000001004494833978242240846,43.75,46.25
20.95,0.59348771235999997486487700371071696281,-0.46185050970000002257265236949024256319,46.25,48.75
21.15,0.60241257087999999786376292831846512854,-0.47483563358000002718739551710314117372,48.75,51.25
21.35,0.61982731292000003975317667936906218529,-0.45653893069000001103674435398716013879,51.25,53.75
21.55,0.63723161307999998115292328293435275555,-0.44164981392000002280440185131737962365,53.75,56.25
21.75,0.65608762342000004341713292888016439974,-0.42893679087999997401325913415348622948,56.25,58.75
21.95,0.67782099373000004316480726629379205406,-0.41755840605999999803898958816716913134,58.75,61.25
22.15,0.70413607556000001874707550086895935237,-0.40679349370000000840619236441852990538,61.25,63.75
22.35,0.73718335778999999341465354518732056022,-0.39598586255000001177251078843255527318,63.75,66.25
22.55,0.77980948343000000555491624254500493407,-0.38451622129000001537590947009448427707,66.25,68.75
22.75,0.83596869086000002990743951158947311342,-0.37178507276000000159044134306896012276,68.75,71.25
22.95,0.91145181730000002229274969067773781717,-0.35720420391000001769654659256048034877,71.25,73.75
23.15,1.01531894590000004718888249044539406896,-0.34019337528999998854217778898600954562,71.25,73.75
23.35,1.16297169679999989888585787412011995912,-0.32017879319999997811407865810906514525,71.25,73.75
23.55,1.38160127670000010269291124131996184587,-0.29666591673999997968991237939917482436,71.25,73.75
23.75,1.17684977570000004476469257497228682041,-0.31731201244000001304712554883735720068,71.25,73.75
23.95,1.04046253129999999309518443624256178737,-0.33391224315000000988362671705544926226,71.25,73.75
24.15,0.94735819993000003336192094138823449612,-0.34678046505999998716518462060776073486,71.25,73.75
24.35,0.88353399775999996723641061180387623608,-0.35624205452000001770329618011601269245,71.25,73.75
24.55,0.84109969707999998611569480999605730176,-0.36255677970999999892853793426183983684,71.25,73.75
24.75,0.81545322876000003731178367161191999912,-0.36591043991999999684949784750642720610,71.25,73.75
24.95,0.80402227375000001607929789315676316619,-0.36640413477000000064265350374625995755,71.25,73.75
25.15,0.80570954698999996956843006046256050467,-0.36404562174999999246693960230913944542,71.25,73.75
25.35,0.82071465681999999919327137831714935601,-0.35874639982000000593131971982074901462,71.25,73.75
25.55,0.85067500376000004802534704140271060169,-0.35032449406999999208522922344855032861,71.25,73.75
25.75,0.89929420433999995854179587695398367941,-0.33850955808999999563368987764988560230,71.25,73.75
25.95,0.97400916528000003324905264889821410179,-0.32294713869000002404163751634769141674,71.25,73.75
26.15,1.08923808939999999800818386574974283576,-0.30327812306000001552064304632949642837,71.25,73.75
26.35,0.96670977721999995502244473755126819015,-0.32310081770999998784787976546795107424,71.25,73.75
26.55,0.88546143444000002808991212077671661973,-0.33883977472999998736824522893584799021,71.25,73.75
26.75,0.83014679865999996266623384144622832537,-0.35085788871000000987976363830966874957,71.25,73.75
