Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,496.23689486910706,463.59340132758473,413.80878789244474,342.2744886609851,282.9800018559313,233.87763771898702,159.6385090587187,50.617601324181784
21.25,491.4163979774507,420.8209705291663,325.94093114129066,214.64600623629596,142.79306405145527,95.99667938324104,44.90228602696248,6.3683797827296775
23.75,493.20460647365496,435.1447147810697,350.7779434601854,241.86549658410334,165.30317082202762,112.5637117096005,52.319703622181564,6.240145253176605
26.25,494.23947054538843,444.3482553807077,369.12814918651117,265.76628454917903,187.82099470107374,131.04526494711263,62.478042460808915,7.0443596026810225
28.75,495.1291060249758,452.31833738028007,385.5500822410247,288.7423106165689,211.03569793831133,151.32332381979688,74.84771155540055,8.407319319213723
31.25,496.0321408850611,460.40913616707365,402.02653108537913,311.9258092177263,235.20312815203192,173.28014665619705,89.278057138127,10.283661849863897
33.75,497.2212485760174,466.6575280149726,409.96482254143353,322.64120648704943,248.28947157286427,186.8540716241025,99.80726270509967,11.908258379623273
36.25,473.29056731452107,323.8754809171521,228.39920859042468,164.46981478548616,125.23989179081556,94.78671761890553,51.56385337867766,6.30582171055655
38.75,496.6987349961281,418.48580032359973,291.79953856570893,188.9090444489756,138.43654798863216,104.2158506080635,57.48797575013194,7.2434940144895394
41.25,497.8487860439446,462.7699403517217,359.60218069745804,226.8382158325554,157.81072068980674,116.34224136086216,64.42731010240475,8.408568113604604
43.75,497.9907892055953,476.74046203421847,409.98057611671317,275.4401071654666,186.22314190785036,133.21435745673958,72.90158753971966,9.879911163251053
46.25,498.1725258926327,481.01722398695426,438.5913239985198,325.691348486417,224.05069156701956,156.8961110294847,83.63229944737978,11.743827423443966
48.75,498.502016862167,481.4108049358362,445.82971209014096,358.9345298303259,259.8856051056075,182.43015548146963,94.5801352892437,13.64558203965886
51.25,485.46056137500284,397.51774080327806,331.6963890584584,267.91655671500735,202.92766514089567,145.5689988129116,74.80434067797378,10.97350582298435
53.75,498.41121389964377,466.0122374625625,398.3623887233395,314.4428321253977,247.36016886674463,186.39651905063874,98.96154498884404,14.908649750346596
56.25,498.59238613068436,483.58780522274316,444.99669244660936,368.83057715554725,299.55510649102104,237.05383009263306,136.5219364756988,22.042970298621157
58.75,498.5719613023696,485.7438113482693,461.56913698946073,408.9002044537129,349.3876176403294,290.56009342255686,185.70260751615325,35.00560165062836
61.25,498.6315310828087,486.42721140961,466.1225543996456,428.7575646964799,384.90395599051175,336.96206874356693,240.40071179124237,58.19833578735065
63.75,498.7238872022702,487.3208278426045,468.6219530820559,437.54517796045656,404.6827081318247,368.93250124887686,291.083380517135,96.93712215035399
66.25,498.84281913996693,488.49186266547645,471.4948465187377,443.80013052967996,416.46522797414866,388.75241528931224,330.3017054654683,154.004402197949
68.75,499.0391855941151,490.38857295695806,475.98146208912243,452.1081113851115,428.52331019880603,405.24637573358274,359.2275803797633,222.19886414447015
71.25,496.4573891375278,465.68749633452927,418.6029335162166,350.5162531814341,293.5594335591988,245.9092924806488,172.68064122109416,60.2158562370037
