name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:18.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:18.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:18.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:18.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:19.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:19.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:19.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:19.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:19.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:19.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:20.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:20.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:20.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:20.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:20.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:20.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:21.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30102,7.69896
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.15,-0.30103,4,-8.30103,7.69897,-0.30103,3.99999,-8.30101,7.69895
IN_INST:0_USECOL:1_DIRECT_IDX0:21.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:21.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:21.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:21.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:21.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:22.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:22.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:22.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.55,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:22.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:22.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:22.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:23.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:23.15,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:23.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:23.35,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:23.55,-0.30103,4,-8.30103,7.69897,-0.30103,1.5692,-3.43942,2.83736
OUT_INST:0_USECOL:2_DIRECT_IDX0:23.55,-0.30103,4,-8.30103,7.69897,-0.30103,3.99999,-8.30101,7.69895
IN_INST:0_USECOL:1_DIRECT_IDX0:23.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:23.75,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
IN_INST:0_USECOL:1_DIRECT_IDX0:23.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
OUT_INST:0_USECOL:2_DIRECT_IDX0:23.95,-0.30103,4,-8.30103,7.69897,-0.30103,4,-8.30103,7.69897
