time,elapsed_seconds,message
10:48:06,4.3e-05,PEST++ performance logger started
10:48:06,0.0009105,starting to process control file
10:48:06,0.0031881,finished processing control file
10:48:06,0.0128285,loading parcov
10:48:06,0.0039987,beginning iteration 1
10:48:06,6.67e-05,commencing to build jacobian parameter sets
10:48:06,0.0180699,jacobian parameter sets built, commencing model runs
10:49:20,73.0845,jacobian runs complete, processing runs
10:49:20,0.0132163,processing jacobian runs complete
10:49:20,4.07e-05,saving jacobian and sen files
10:49:20,0.0215847,commencing calculation of upgrade vector
10:49:20,0.0074799,forming JtQJ matrix
10:49:20,0.0054073,commencing to scale JtQJ matrix- first SVD...
10:49:20,0.0006955,starting REDSVD
10:49:20,0.0100266,retrieving REDSVD components
10:49:20,0.0002415,triming REDSVD components to 68elements
10:49:20,0.0002158,done REDSVD
10:49:20,0.0014306,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.91e-05,JS
10:49:20,0.0005413,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:49:20,0.0055857,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,2.02e-05,commencing SVD factorization of lambda-scaled JtQJ
10:49:20,1.5e-05,starting REDSVD
10:49:20,0.0100863,retrieving REDSVD components
10:49:20,0.00022,triming REDSVD components to 61elements
10:49:20,9e-05,done REDSVD
10:49:20,4e-05,SVD factorization complete
10:49:20,0.0061944,commencing linear algebra multiplication to compute ugrade
10:49:20,2.84e-05,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122Vt info: rows = 61: cols = 123: size = 7503: nonzeros = 7442
10:49:20,1.7e-05,U info: rows = 123: cols = 61: size = 7503: nonzeros = 7442
10:49:20,1.84e-05,jac info: rows = 349: cols = 123: size = 42927: nonzeros = 35502
10:49:20,0.0009953,linear algebra multiplication to compute ugrade complete
10:49:20,0.0002936,commencing check of parameter bounds and gradients
10:49:20,0.0571138,beginning upgrade vector calculations, lambda = 0.1
10:49:20,9.45e-05,commencing calculation of upgrade vector
10:49:20,0.0083661,forming JtQJ matrix
10:49:20,0.0056221,commencing to scale JtQJ matrix- first SVD...
10:49:20,2.09e-05,starting REDSVD
10:49:20,0.0096999,retrieving REDSVD components
10:49:20,0.0001829,triming REDSVD components to 68elements
10:49:20,0.0001753,done REDSVD
10:49:20,0.0015212,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.8e-05,JS
10:49:20,0.0006309,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:49:20,0.0057478,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.96e-05,commencing SVD factorization of lambda-scaled JtQJ
10:49:20,1.3e-05,starting REDSVD
10:49:20,0.0215537,retrieving REDSVD components
10:49:20,0.0002602,triming REDSVD components to 121elements
10:49:20,0.0001708,done REDSVD
10:49:20,2.07e-05,SVD factorization complete
10:49:20,0.0104821,commencing linear algebra multiplication to compute ugrade
10:49:20,1.83e-05,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122Vt info: rows = 121: cols = 123: size = 14883: nonzeros = 14762
10:49:20,1.56e-05,U info: rows = 123: cols = 121: size = 14883: nonzeros = 14762
10:49:20,1.46e-05,jac info: rows = 349: cols = 123: size = 42927: nonzeros = 35502
10:49:20,0.0012889,linear algebra multiplication to compute ugrade complete
10:49:20,0.0002527,commencing check of parameter bounds and gradients
10:49:20,0.0001266,commencing calculation of upgrade vector
10:49:20,0.0077467,forming JtQJ matrix
10:49:20,0.0056707,commencing to scale JtQJ matrix- first SVD...
10:49:20,1.98e-05,starting REDSVD
10:49:20,0.0095364,retrieving REDSVD components
10:49:20,0.0001787,triming REDSVD components to 68elements
10:49:20,0.0001809,done REDSVD
10:49:20,0.0015331,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.74e-05,JS
10:49:20,0.0006146,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:49:20,0.0058089,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.95e-05,commencing SVD factorization of lambda-scaled JtQJ
10:49:20,3.55e-05,starting REDSVD
10:49:20,0.0215154,retrieving REDSVD components
10:49:20,0.0002436,triming REDSVD components to 121elements
10:49:20,0.0001885,done REDSVD
10:49:20,1.84e-05,SVD factorization complete
10:49:20,0.0106375,commencing linear algebra multiplication to compute ugrade
10:49:20,1.7e-05,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122Vt info: rows = 121: cols = 123: size = 14883: nonzeros = 14762
10:49:20,1.46e-05,U info: rows = 123: cols = 121: size = 14883: nonzeros = 14762
10:49:20,1.34e-05,jac info: rows = 349: cols = 123: size = 42927: nonzeros = 35502
10:49:20,0.001007,linear algebra multiplication to compute ugrade complete
10:49:20,0.0002499,commencing check of parameter bounds
10:49:20,5.16e-05,limiting out of bounds pars
10:49:20,0.0001126,checking for denormal floating point values
10:49:20,2.87e-05,transforming upgrade pars to model pars
10:49:20,4.06e-05,writing upgrade vector to csv file
10:49:20,0.0007527,beginning upgrade vector calculations, lambda = 1
10:49:20,3.27e-05,commencing calculation of upgrade vector
10:49:20,0.0076021,forming JtQJ matrix
10:49:20,0.0059237,commencing to scale JtQJ matrix- first SVD...
10:49:20,1.91e-05,starting REDSVD
10:49:20,0.0095758,retrieving REDSVD components
10:49:20,0.0001982,triming REDSVD components to 68elements
10:49:20,0.0003626,done REDSVD
10:49:20,0.0014878,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.8e-05,JS
10:49:20,0.0006768,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:49:20,0.0057078,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.9e-05,commencing SVD factorization of lambda-scaled JtQJ
10:49:20,1.28e-05,starting REDSVD
10:49:20,0.0217089,retrieving REDSVD components
10:49:20,0.0002916,triming REDSVD components to 121elements
10:49:20,0.0001784,done REDSVD
10:49:20,2.03e-05,SVD factorization complete
10:49:20,0.0103433,commencing linear algebra multiplication to compute ugrade
10:49:20,1.78e-05,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122Vt info: rows = 121: cols = 123: size = 14883: nonzeros = 14762
10:49:20,1.41e-05,U info: rows = 123: cols = 121: size = 14883: nonzeros = 14762
10:49:20,1.36e-05,jac info: rows = 349: cols = 123: size = 42927: nonzeros = 35502
10:49:20,0.0009843,linear algebra multiplication to compute ugrade complete
10:49:20,0.0002892,commencing check of parameter bounds and gradients
10:49:20,5.75e-05,commencing calculation of upgrade vector
10:49:20,0.0073556,forming JtQJ matrix
10:49:20,0.00558,commencing to scale JtQJ matrix- first SVD...
10:49:20,1.94e-05,starting REDSVD
10:49:20,0.0097271,retrieving REDSVD components
10:49:20,0.0001775,triming REDSVD components to 68elements
10:49:20,0.0001766,done REDSVD
10:49:20,0.0014865,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.79e-05,JS
10:49:20,0.0005725,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
10:49:20,0.0053617,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122
10:49:20,1.97e-05,commencing SVD factorization of lambda-scaled JtQJ
10:49:20,1.33e-05,starting REDSVD
10:49:20,0.0218935,retrieving REDSVD components
10:49:20,0.000309,triming REDSVD components to 121elements
10:49:20,0.000243,done REDSVD
10:49:20,4.22e-05,SVD factorization complete
10:49:20,0.0100852,commencing linear algebra multiplication to compute ugrade
10:49:20,1.61e-05,S info: rows = 123: cols = 123: size = 15129: nonzeros = 122Vt info: rows = 121: cols = 123: size = 14883: nonzeros = 14762
