iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
0,0,0.1,1,0.508264,0.5,0.823847,0.5,0.734584,0.5,0.644653,0.5,0.581277,0.5,0.537966,0.5,0.53481,0.5,1.94466,0.5,0.884806,0.5,0.636929,0.5,0.544842,0.5,0.500286,0.5,0.485235,0.5,0.710836,0.5,0.505964,0.5,0.453743,0.5,0.433253,0.5,0.422909,0.5,0.416847,0.5,0.412815,0.5,0.410459,0.5,0.430998,0.5,1.1,,,,1.3,1e-09,,,,,,
0,0,0.1,0.75,0.506185,0.5,0.727156,0.5,0.667227,0.5,0.604975,0.5,0.559796,0.5,0.528212,0.5,0.525887,0.5,1.38476,0.5,0.767147,0.5,0.59953,0.5,0.533268,0.5,0.500214,0.5,0.488885,0.5,0.650983,0.5,0.504466,0.5,0.46489,0.5,0.449054,0.5,0.440989,0.5,0.43624,0.5,0.433071,0.5,0.431216,0.5,0.4473,0.5,0.604011,71.25,2.5,0.0314159,1.3,1e-09,0,28.5,0.2,1.5,0,2
0,0,1,1,0.510298,0.5,0.772644,0.5,0.696688,0.5,0.623156,0.5,0.570111,0.5,0.532503,0.5,0.527937,0.5,1.61334,0.5,0.813368,0.5,0.616335,0.5,0.53877,0.5,0.499394,0.5,0.48513,0.5,0.682251,0.5,0.504587,0.5,0.45652,0.5,0.436491,0.5,0.425879,0.5,0.419401,0.5,0.414928,0.5,0.412307,0.5,0.445059,0.5,1.1,,,,1.3,1e-09,,,,,,
0,0,1,0.75,0.507704,0.5,0.69299,0.5,0.641241,0.5,0.58978,0.5,0.551711,0.5,0.524185,0.5,0.52081,0.5,1.20375,0.5,0.720208,0.5,0.584931,0.5,0.528804,0.5,0.499546,0.5,0.488805,0.5,0.631249,0.5,0.503436,0.5,0.467022,0.5,0.451569,0.5,0.44331,0.5,0.438243,0.5,0.434732,0.5,0.432671,0.5,0.458201,0.5,0.604011,71.25,2.5,0.0314159,1.3,1e-09,0,28.5,0.2,1.5,0,2
0,0,10,1,0.488457,0.5,0.621082,0.5,0.589599,0.5,0.560834,0.5,0.537389,0.5,0.517622,0.5,0.50961,0.5,0.841248,0.5,0.625803,0.5,0.557129,0.5,0.521544,0.5,0.498964,0.5,0.487262,0.5,0.594327,0.5,0.502073,0.5,0.468891,0.5,0.450551,0.5,0.438406,0.5,0.429457,0.5,0.421958,0.5,0.415852,0.5,0.473434,0.5,1.1,,,,1.3,1e-09,,,,,,
0,0,10,0.75,0.491317,0.5,0.588307,0.5,0.565797,0.5,0.544964,0.5,0.527787,0.5,0.513159,0.5,0.50719,0.5,0.738645,0.5,0.591658,0.5,0.542262,0.5,0.516073,0.5,0.499223,0.5,0.490415,0.5,0.569196,0.5,0.501554,0.5,0.476482,0.5,0.462435,0.5,0.453054,0.5,0.4461,0.5,0.440245,0.5,0.435458,0.5,0.47994,0.5,0.604011,71.25,2.5,0.0314159,1.3,1e-09,0,28.5,0.2,1.5,0,2
0,0,100,1,0.453959,0.5,0.563671,0.5,0.548742,0.5,0.536394,0.5,0.525113,0.5,0.514133,0.5,0.505303,0.5,0.6271,0.5,0.561171,0.5,0.534352,0.5,0.516476,0.5,0.502774,0.5,0.492487,0.5,0.555219,0.5,0.504263,0.5,0.480622,0.5,0.463772,0.5,0.450254,0.5,0.438564,0.5,0.427047,0.5,0.412793,0.5,0.452526,0.5,1.1,,,,1.3,1e-09,,,,,,
0,0,100,0.75,0.465056,0.5,0.547031,0.5,0.536128,0.5,0.527054,0.5,0.518719,0.5,0.510562,0.5,0.503972,0.5,0.592577,0.5,0.54521,0.5,0.525549,0.5,0.512307,0.5,0.502079,0.5,0.494355,0.5,0.540867,0.5,0.503194,0.5,0.485395,0.5,0.472575,0.5,0.462206,0.5,0.453176,0.5,0.444221,0.5,0.433053,0.5,0.463954,0.5,0.604011,71.25,2.5,0.0314159,1.3,1e-09,0,28.5,0.2,1.5,0,2
0,0,1000,1,0.486954,0.5,0.508267,0.5,0.506484,0.5,0.505074,0.5,0.503755,0.5,0.502441,0.5,0.501251,0.5,0.514925,0.5,0.507844,0.5,0.50483,0.5,0.502722,0.5,0.501052,0.5,0.4997,0.5,0.507324,0.5,0.501215,0.5,0.498248,0.5,0.496028,0.5,0.494185,0.5,0.492544,0.5,0.490884,0.5,0.488682,0.5,0.486924,0.5,0.179184,,,,1.3,1e-09,,,,,,
0,0,1000,0.75,0.490183,0.5,0.506187,0.5,0.504855,0.5,0.5038,0.5,0.502814,0.5,0.50183,0.5,0.500938,0.5,0.511153,0.5,0.505872,0.5,0.503618,0.5,0.50204,0.5,0.500789,0.5,0.499775,0.5,0.505483,0.5,0.500911,0.5,0.498685,0.5,0.497018,0.5,0.495632,0.5,0.494398,0.5,0.493147,0.5,0.491487,0.5,0.49016,0.5,0.154873,71.25,2.5,0.0314159,1.3,1e-09,0,28.5,0.2,1.5,0,2
