Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
29.0,0.0013315800270702646,3.430860659138544e-05,0,0
30.0,0.02750153515380553,1.686231735467676e-05,0,0
31.0,0.0006932282355045821,1.690164936789929e-05,0,0
32.0,0.006356510900124244,1.751023972866047e-05,0,0
33.0,0.0045682338940558525,1.765437532796307e-05,0,0
34.0,0.005534739903429154,1.8590597716441425e-05,0,0
35.0,0.004907561975520917,1.9829584692122436e-05,0,0
36.0,0.0038045249603663824,2.0975341320292784e-05,0,0
37.0,0.0006900007251589317,2.0823053501066675e-05,0,0
38.0,0.0007349440944318085,2.1656279185208193e-05,0,0
39.0,0.0007191584906615483,2.3054070516119694e-05,0,0
40.0,0.0007970620376216577,2.4672055886114953e-05,0,0
41.0,0.0011307102890376712,2.680458375767341e-05,0,0
42.0,0.0013463908285862294,2.8999910384119064e-05,0,0
43.0,0.0017474650082885245,3.2326555196471745e-05,0,0
44.0,0.0007629005730838842,3.5961376439286084e-05,0,0
45.0,0.0007099737211644774,3.8909694488210954e-05,0,0
46.0,0.0008239970032974008,4.157647398649469e-05,0,0
47.0,0.0009061932326075888,4.396274181532779e-05,0,0
48.0,0.0008472167283890829,4.702411153428803e-05,0,0
49.0,0.0006606885890180781,5.0157938220284295e-05,0,0
50.0,0.0005682282703466638,5.1988030018759963e-05,0,0
51.0,0.0005253533611887851,5.3906658689496524e-05,0,0
52.0,0.00045442115100921424,5.8298314592559315e-05,0,0
53.0,0.0004278586295584323,5.8845082829212296e-05,0,0
54.0,0.0004970772531575246,6.020964234666582e-05,0,0
55.0,0.000591145513142262,6.0592209575908574e-05,0,0
56.0,0.0006545003582499157,6.125372196900885e-05,0,0
57.0,0.0006642150241062642,6.293543241512722e-05,0,0
58.0,0.0006826847388372182,6.292988844279433e-05,0,0
59.0,0.0008370961275933077,6.309338287248041e-05,0,0
60.0,0.0008077463954219651,6.244139981758329e-05,0,0
61.0,0.0006261033191938243,6.451750717418083e-05,0,0
62.0,0.000558861208285932,6.448533622245242e-05,0,0
63.0,0.0008949663389075853,6.17966143906498e-05,0,0
64.0,0.0012536101996855563,6.080210961586608e-05,0,0
65.0,0.0014198827179111716,6.051308049014094e-05,0,0
66.0,0.0018515245178160548,6.00169499112386e-05,0,0
67.0,0.0019661020233967988,5.970189036137249e-05,0,0
68.0,0.0015761192326541615,5.972648038188703e-05,0,0
69.0,0.0012638822319092785,5.960068341221794e-05,0,0
70.0,0.0013612922265775066,5.9561358065013465e-05,0,0
71.0,0.0008164253154509726,5.965257592263119e-05,0,0
72.0,0.000572110308999103,6.0089011558308096e-05,0,0
73.0,0.0004309633497818327,5.9809279935561774e-05,0,0
74.0,0.00035826313419551586,5.998830722432003e-05,0,0
75.0,0.00032933641035897267,6.0216826202711146e-05,0,0
76.0,0.00035720623160979324,6.16984263587776e-05,0,0
77.0,0.0005040949933996507,6.703135123559324e-05,0,0
78.0,0.00036874932102484134,7.927060328905558e-05,0,0
79.0,0.0007231616113117878,9.771690872159833e-05,0,0
80.0,0.000677545598508792,9.372008097221312e-05,0,0
81.0,0.0005833841882222009,0.00010805073662077944,0,0
82.0,0.016390281376835587,0.002088976905644875,0,0
83.0,0.04838814818369166,0.14427345796467975,0,0
84.0,8.246488446491687e-06,0.0036897516251059416,0,0
85.0,0.003006695260065251,2.508945480632398e-05,0,0
86.0,7.643836342620718e-05,0.003912885787032859,0,0
87.0,0.004743566930247754,0.00845529540372054,0,0
88.0,0.0007844729442504166,5.78986403634502e-05,0,0
