Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
29.0,0.6514444340999999,-0.23788471317,0,0
30.0,13.454483877,-0.1169178210899999,0,0
31.0,0.33914572643,-0.1171905364699999,0,0
32.0,3.109774525,-0.1214103039799999,0,0
33.0,2.2349017584,-0.1224096933199999,0,0
34.0,2.7077422543,-0.1289011546899999,0,0
35.0,2.4009100985,-0.1374918871799999,0,0
36.0,1.8612749962,-0.14543619078,0,0
37.0,0.33756674236,-0.1443802765999999,0,0
38.0,0.3595542362899999,-0.15015759234,0,0
39.0,0.3518314982599999,-0.15984942255,0,0
40.0,0.3899439894599999,-0.1710680065699999,0,0
41.0,0.55317360534,-0.18585426085,0,0
42.0,0.65869027289,-0.20107594126,0,0
43.0,0.8549064496999998,-0.22414181381,0,0
44.0,0.3732312906499999,-0.2493444814399999,0,0
45.0,0.34733806426,-0.26978715933,0,0
46.0,0.40312129245,-0.2882777405299999,0,0
47.0,0.4433338782499999,-0.3048233450999999,0,0
48.0,0.4144810007399999,-0.3260498864799999,0,0
49.0,0.32322646423,-0.34777882089,0,0
50.0,0.2779924123899999,-0.36046808186,0,0
51.0,0.2570168642699999,-0.37377122869,0,0
52.0,0.2223149368,-0.40422154156,0,0
53.0,0.2093198434499999,-0.40801265458,0,0
54.0,0.2431834387,-0.4174740662099999,0,0
55.0,0.28920413828,-0.42012666288,0,0
56.0,0.32019901683,-0.42471337454,0,0
57.0,0.3249516902499999,-0.4363738074999999,0,0
58.0,0.3339875668899999,-0.4363353674,0,0
59.0,0.40952973313,-0.4374689845699999,0,0
60.0,0.39517106202,-0.43294834624,0,0
61.0,0.30630642858,-0.4473433990299999,0,0
62.0,0.2734097960099999,-0.44712033612,0,0
63.0,0.43784138267,-0.42847761392,0,0
64.0,0.61329951675,-0.42158204145,0,0
65.0,0.6946444636099999,-0.41957800755,0,0
66.0,0.90581513481,-0.4161379995699999,0,0
67.0,0.96186950388,-0.4139534791799999,0,0
68.0,0.7710795301199999,-0.4141239783799999,0,0
69.0,0.61832486865,-0.41325174313,0,0
70.0,0.66598043389,-0.4129790739699999,0,0
71.0,0.3994170209799999,-0.41361154891,0,0
72.0,0.2798916091499999,-0.4166376515799999,0,0
73.0,0.2108387553199999,-0.4146980835399999,0,0
74.0,0.17527187249,-0.4159394005,0,0
75.0,0.1611201483299999,-0.41752387673,0,0
76.0,0.17475480758,-0.4277968100599999,0,0
77.0,0.24661670424,-0.4647735756799999,0,0
78.0,0.1804019945299999,-0.54963656644,0,0
79.0,0.3537899315599999,-0.67753724539,0,0
80.0,0.3314733624899999,-0.6498245424499999,0,0
81.0,0.2854070913,-0.74918864514,0,0
82.0,8.018562429,-14.484286055,0,0
83.0,23.672771572,-1000.3452071,0,0
84.0,0.0040344019061,-25.583537025,0,0
85.0,1.4709554457,-0.1739621148499999,0,0
86.0,0.03739568437,-27.13067669,0,0
87.0,2.3206793521,-58.626266751,0,0
88.0,0.3837850695,-0.40145033052,0,0
