Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.89153734617000002238285105704562738538,-0.36572329485999999221235157165210694075,18.75,21.25
21.25,1.64452617330000006035106707713566720486,-0.26359082235999997667619254571036435664,21.25,23.75
23.75,1.27385621259999992638256571808597072959,-0.22234260892999999081887096963328076527,23.75,26.25
26.25,1.07359077520000001371158759866375476122,-0.21381339924000000718429248536267550662,26.25,28.75
28.75,0.90292422992999998854202203801833093166,-0.23203342285000000400074782191950362176,28.75,31.25
31.25,0.72871661890999994692919017325039021671,-0.28576467060999999336701193897170014679,31.25,33.75
33.75,0.65008324785000004553126018436159938574,-0.41347081442999999989496018315549008548,33.75,36.25
36.25,5.09865096169999976183362377923913300037,-0.78280181666000003826155761998961679637,36.25,38.75
38.75,0.52183496008999996629285078597604297101,-0.71864902349000003844992079393705353141,38.75,41.25
41.25,0.37192528402000002429872438369784504175,-0.62312864814000001878468992799753323197,41.25,43.75
43.75,0.34886369594999999677042978873942047358,-0.60724315136999995612399061428732238710,43.75,46.25
46.25,0.33111043748000001940567926794756203890,-0.69352225443000004023730298285954631865,46.25,48.75
48.75,0.39873758768000000518583192388177849352,-0.96605297503999998376400526467477902770,48.75,51.25
51.25,2.64102947969999979349609020573552697897,-1.82017793780000003422969712119083851576,51.25,53.75
53.75,0.33487893013999997515739437403681222349,-0.96763243672999998956640865799272432923,53.75,56.25
56.25,0.26185887993000001028320866680587641895,-0.59980723320999995706870322464965283871,56.25,58.75
58.75,0.26521540295000001208336470881476998329,-0.48319722579000001783100515240221284330,58.75,61.25
61.25,0.25610908110000002446682287882140371948,-0.46613929657999997324679952726000919938,61.25,63.75
63.75,0.23424958114999999692074084123305510730,-0.49206957154999997339217543412814848125,63.75,66.25
66.25,0.20643994371999999093425515184208052233,-0.51634254043000005207630920267547480762,66.25,68.75
68.75,0.19076784113000000431270564149599522352,-0.48986714123000002496510774108173791319,68.75,71.25
71.25,0.40433717075999997536683849830296821892,-0.43395797524000001565980255691101774573,71.25,73.75
