Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,1e+30,-104.192000682183,-36.295164551802884,-259.7964554388957,-141.411798714056,-47.08167124592026
30.46,1e+30,24.739164770919274,-6.9097845672420135,-238.09019523645668,-181.55402341561236,-62.82083577984537
31.46,1e+30,-28.795430996392724,-10.212388193471384,-210.21538357453107,-201.5921953326754,-74.76852939737859
32.46,1e+30,-33.91457539206408,-14.07702514645473,-199.42143433279188,-213.46865265626124,-85.66742610533255
33.46,1e+30,-25.284776214791464,-12.88854668432532,-184.75484822356879,-216.93477932767965,-94.90269914146864
34.46,1e+30,-21.905114991111645,-10.667438940863576,-166.6480680548371,-217.38562937837926,-103.85999737717444
35.46,1e+30,-14.975509292469724,-7.882785429126443,-145.92614087793527,-216.56425902396074,-112.97448931077804
36.46,1e+30,-7.662541509943708,-5.044277992784714,-124.4929409100281,-215.00695623261487,-122.28963763096911
37.46,1e+30,-3.5067225048594537,-2.8825301643661305,-102.19936242159463,-208.68622480051044,-129.6073550176604
38.46,1e+30,-2.2168486086303574,-1.9579094992981254,-82.9374181878328,-198.4451323309474,-134.6906312474302
39.46,1e+30,-5.06837756734717,-2.1654950974721032,-68.54142170062175,-185.13163299644629,-137.34160940750013
40.46,1e+30,-5.079837126676011,-2.606360895028388,-58.48974217383852,-169.76156205141274,-137.5451594111713
41.46,1e+30,-8.015411556580943,-2.897772070843871,-51.2256145355193,-153.73250184006264,-135.72307392319237
42.46,1e+30,-3.9275529090339205,-2.321971636107378,-45.1181134774032,-138.13903087172912,-132.3613484702625
43.46,1e+30,-1.3780271986752268,-1.6208244499425746,-40.168549305398756,-124.18900025172763,-128.33212793652928
44.46,1e+30,-3.1290341675222635,-1.5854786803159868,-36.643248240115554,-111.23055511911275,-123.07518492702064
45.46,1e+30,-4.48092390111492,-1.9418375682471378,-34.46934364150752,-99.43929449951565,-116.81200686107121
46.46,1e+30,-5.4474017580289456,-2.127169091459905,-32.82798487450998,-89.00104949886872,-109.92609248464527
47.46,1e+30,-3.170080368179015,-1.8114127043015742,-30.938483165334105,-79.9719189885401,-102.7833194916679
48.46,1e+30,-1.4705167655205287,-1.435988098578946,-28.744731451717826,-72.24740954936533,-95.6191378997541
49.46,1e+30,-3.647270939815712,-1.4098666853534496,-26.47872682385332,-65.6161374270929,-88.53155267294392
50.46,1e+30,-3.8129992122566136,-1.211311277798245,-24.06867521273591,-59.91600638420766,-81.64373092838798
51.46,1e+30,1.9666076727097561,-0.647468472719197,-21.694143506556884,-55.01956852605406,-75.07327641835536
52.46,1e+30,-2.450242047128768,-0.7105784387849781,-20.14488979237342,-50.80276517624441,-68.8799689031008
53.46,1e+30,-2.0442867447582103,-1.054954131049044,-19.661042507468892,-47.176941036750236,-63.10871237686695
54.46,1e+30,-3.633058383457751,-1.3879316768727676,-19.870331759956116,-44.1052868482941,-57.820070965216814
55.46,1e+30,-3.610561287991004,-1.421349715800261,-20.20377431122938,-41.57366232422419,-53.060696576206624
