Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,640.9,536.707999317817,500.41283476601404,240.61637932711838,99.2045806130624,52.12290936714214
30.46,535.6397435897435,560.3789083606628,553.4691237934207,315.37892855696407,133.82490514135173,71.00406936150634
31.46,613.4620000000001,584.6665690036074,574.454180810136,364.2387972356049,162.64660190292952,87.87807250555093
32.46,652.1435714285714,618.2289960365073,604.1519708900526,404.7305365572607,191.26188390099944,105.59445779566687
33.46,658.4870212765958,633.2022450618043,620.313698377479,435.5588501539102,218.62407082623056,123.72137168476193
34.46,664.4052,642.5000850088884,631.8326460680248,465.1845780131877,247.79894863480843,143.93895125763402
35.46,665.36625,650.3907407075303,642.5079552784039,496.5818144004686,280.01755537650786,167.04306606572982
36.46,667.9079591836735,660.2454176737298,655.2011396809451,530.708198770917,315.7012425383021,193.41160490733301
37.46,667.2885714285715,663.781848923712,660.8993187593459,558.6999563377512,350.0137315372408,220.40637651958036
38.46,667.7535294117647,665.5366808031343,663.5787713038362,580.6413531160034,382.19622078505597,247.50558953762584
39.46,672.2992307692308,667.2308532018836,665.0653581044115,596.5239364037898,411.3923034073435,274.05069399984336
40.46,672.9684210526316,667.8885839259556,665.2822230309272,606.7924808570887,437.03091880567587,299.4857593945046
41.46,675.508,667.4925884434191,664.5948163725752,613.3692018370559,459.6366999969933,323.9136260738009
42.46,669.5,665.5724470909661,663.2504754548587,618.1323619774555,479.99333110572644,347.6319826354639
43.46,667.5879069767442,666.209879778069,664.5890553281264,624.4205060227276,500.231505771,371.8993778344707
44.46,670.532105263158,667.4030710956357,665.8175924153197,629.1743441752042,517.9437890560914,394.8686041290708
45.46,673.3620833333333,668.8811594322184,666.9393218639713,632.4699782224637,533.0306837229481,416.2186768618769
46.46,675.4609523809524,670.0135506229235,667.8863815314636,635.0583966569536,546.0573471580849,436.1312546734396
47.46,673.6166666666667,670.4465862984877,668.6351735941861,637.696690428852,557.7247714403119,454.941451948644
48.46,672.2734210526315,670.802904287111,669.3669161885321,640.6221847368142,568.3747751874489,472.75563728769475
