Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,1e+30,1e+30,1e+30,1e+30,1e+30,0.31
30.46,587.35,554.43,572.35,395.48,18.65,3.51
31.46,625.99,584.21,575.7,437.41,83.12,9.07
32.46,655.52,619.16,612.87,441.91,160.16,27.45
33.46,661.15,638.37,628.37,451.91,197.24,50.97
34.46,664.83,644.78,647.77,460.35,205.43,62.86
35.46,666.72,655.82,651.02,485.27,209.35,66.06
36.46,668.73,660.11,666.59,580.91,300.29,92.0
37.46,667.4,666.82,665.15,605.08,350.57,118.49
38.46,668.75,670.98,667.53,614.11,374.22,234.86
39.46,673.23,673.66,671.84,619.13,386.71,300.15
40.46,674.1,675.0,674.09,624.98,400.97,321.59
41.46,673.7,676.46,674.5,627.59,417.14,333.32
42.46,667.22,674.11,675.04,630.4,431.01,343.65
43.46,667.99,677.03,676.97,635.57,448.42,354.16
44.46,671.65,677.72,677.63,640.98,472.32,369.68
45.46,673.66,678.52,678.19,644.87,486.62,385.45
46.46,676.39,678.68,678.44,650.16,505.5,402.39
47.46,672.65,679.06,678.72,652.28,515.95,415.61
48.46,672.67,679.22,678.95,655.42,532.92,430.6
49.46,676.02,679.53,678.78,659.12,547.32,445.96
50.46,671.31,679.24,678.63,661.11,561.25,465.57
51.46,668.69,678.91,678.07,662.02,566.35,479.31
52.46,673.34,678.49,678.09,663.0,575.99,489.46
53.46,672.37,678.52,677.5,663.19,579.77,505.66
54.46,675.5,678.13,676.78,663.11,584.93,519.06
55.46,673.07,677.72,676.55,662.72,587.02,527.42
56.46,671.33,676.5,675.91,661.84,588.6,532.48
57.46,672.41,676.17,675.1,660.24,588.74,537.17
58.46,671.67,675.53,673.37,657.15,587.95,539.97
59.46,672.89,675.03,672.95,655.51,586.13,541.43
60.46,664.85,674.2,672.44,652.7,582.81,541.02
61.46,669.82,674.26,671.71,649.8,578.92,539.42
62.46,676.62,673.91,671.58,645.61,574.67,537.1
63.46,672.39,674.19,670.93,641.09,569.8,533.78
64.46,675.35,673.51,670.0,637.84,563.48,530.9
65.46,683.77,673.8,669.76,634.14,558.94,527.4
66.46,675.53,672.49,668.73,631.71,555.68,526.76
67.46,671.44,671.06,667.3,630.75,554.23,526.86
68.46,677.67,671.41,666.19,631.76,555.62,530.76
69.46,678.1,670.18,665.88,633.13,540.99,535.43
70.46,665.17,668.53,664.96,634.17,556.13,538.11
71.46,664.2,665.84,661.56,634.25,560.43,541.04
72.46,665.41,664.08,660.41,633.55,561.95,542.69
73.46,659.29,661.45,657.92,631.9,562.17,545.78
74.46,659.02,658.25,655.38,628.46,562.02,545.1
75.46,658.58,654.05,650.6,622.94,560.53,547.04
76.46,659.7,651.3,632.95,610.72,559.5,546.64
77.46,661.18,645.04,636.28,611.68,555.57,546.13
78.46,651.33,618.47,627.83,600.14,554.18,545.07
79.46,629.66,606.65,591.09,591.56,550.48,543.99
80.46,600.71,571.13,559.02,583.66,546.8,542.85
81.46,566.62,514.82,490.72,575.96,544.46,540.53
82.46,506.19,447.49,427.54,569.86,531.19,540.83
83.46,322.18,373.79,390.99,564.17,508.86,472.5
84.46,167.08,213.91,228.3,234.88,319.21,295.98
85.46,105.38,138.02,139.55,173.69,183.29,176.77
86.46,98.01,110.9,40.16,132.81,27.09,120.1
87.46,0.34,-0.06,0.39,6.29,1.29,3.53
88.46,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
