Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,1.0,1.0,18.75,21.25
21.25,1.0,1.0,21.25,23.75
23.75,1.0,1.0,23.75,26.25
26.25,1.0,1.0,26.25,28.75
28.75,1.0,1.0,28.75,31.25
31.25,1.0,1.0,31.25,33.75
33.75,1.0,1.0,33.75,36.25
36.25,1.0,1.0,36.25,38.75
38.75,1.0,1.0,38.75,41.25
41.25,1.0,1.0,41.25,43.75
43.75,1.0,1.0,43.75,46.25
46.25,1.0,1.0,46.25,48.75
48.75,1.0,1.0,48.75,51.25
51.25,1.0,1.0,51.25,53.75
53.75,1.0,1.0,53.75,56.25
56.25,1.0,1.0,56.25,58.75
58.75,1.0,1.0,58.75,61.25
61.25,1.0,1.0,61.25,63.75
63.75,1.0,1.0,63.75,66.25
66.25,1.0,1.0,66.25,68.75
68.75,1.0,1.0,68.75,71.25
71.25,1.0,1.0,71.25,73.75
