Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.91273450882233
21.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
23.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
26.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
28.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
31.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
33.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
36.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
38.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
41.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
43.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
46.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
48.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
51.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
53.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
56.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
58.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
61.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
63.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
66.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
68.75,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.9127345088223
71.25,498.7283686293541,487.42807395648447,469.1607572197942,440.2246093875971,413.07254014952616,387.59517700295305,341.25745002211426,232.91273450882233
