Z0,C0
29.51,640.9
29.84,630.86
30.15,552.14
30.42,529.73
30.81,587.35
31.24,598.15
31.64,625.99
32.07,647.38
32.49,652.51
32.92,655.52
33.41,658.17
33.88,661.15
34.32,664.24
34.82,664.83
35.36,665.01
35.84,666.72
36.35,667.67
36.84,668.73
37.36,667.26
37.85,667.4
38.28,667.21
38.79,668.75
39.34,672.02
39.86,673.23
40.33,672.38
40.71,674.1
41.05,675.59
41.5,675.5
41.89,673.7
42.32,670.83
42.7,667.22
43.22,667.08
43.65,667.99
44.06,669.56
44.44,670.47
44.82,671.65
45.2,673.01
45.68,673.66
46.08,674.33
46.5,675.58
46.89,676.39
47.32,674.1
47.74,672.65
48.1,672.03
48.09,671.66
48.47,672.29
48.86,672.67
49.26,673.99
49.68,676.02
50.06,677.22
50.53,674.61
50.95,671.31
51.41,668.36
51.94,668.69
52.45,672.77
52.88,673.34
53.36,672.98
53.77,672.37
54.23,674.14
54.69,675.5
55.08,675.43
55.46,674.57
55.84,673.07
56.22,672.28
56.57,670.24
56.95,671.33
57.36,672.19
57.77,672.41
58.2,672.19
58.6,671.67
59.05,672.71
59.46,673.34
59.8,672.89
60.2,669.59
60.58,664.85
60.98,662.56
61.49,665.82
61.92,669.82
62.32,673.89
62.7,676.62
63.13,677.01
63.56,674.83
63.96,672.39
64.33,671.77
64.78,675.35
65.17,680.93
65.56,684.38
65.95,683.77
66.42,678.55
66.84,675.53
67.32,671.44
67.98,672.15
68.41,673.91
68.83,677.67
69.24,679.2
69.63,678.1
70.06,674.48
70.49,671.16
70.88,665.17
71.29,663.44
71.66,664.2
72.01,666.05
72.39,665.07
72.79,665.41
73.18,662.31
73.56,660.72
73.95,659.29
74.33,658.91
74.77,659.02
75.25,658.67
75.71,658.58
76.09,659.4
76.53,659
76.94,659.7
77.36,660.52
77.71,661.18
78.1,660.01
78.66,651.33
79.03,643.62
79.43,631.76
79.76,629.66
80.12,617.81
80.45,605.78
80.74,600.71
81.07,586.88
81.39,586.95
81.71,566.62
82.07,553.36
82.48,531.54
82.82,506.19
83.14,450.31
83.5,395.61
83.86,322.18
84.19,255.28
84.56,221.67
84.93,167.08
85.31,104.81
85.66,105.38
86.03,102.52
86.4,108.46
86.77,98.01
86.98,92.9
87.22,4.45
87.52,5.39
87.65,0.05
87.7,0.03
87.7,0.12
87.71,0.36
87.71,0.37
87.71,0.37
87.72,0.34
