Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,1e+30,-6.298871585750703,-3.12618197517304,-50.84772958501492,-74.98085698018372,-53.732412623751884
30.46,1e+30,-5.264354206336179,-2.6127424659802045,-42.49657434792823,-62.6661156828946,-44.90748560932576
31.46,1e+30,-6.029205414411763,-2.9923444313393475,-48.670846016008,-71.77079169132247,-51.432032466336864
32.46,1e+30,-6.409374204854203,-3.1810253413548253,-51.739763978585074,-76.29626624797618,-54.67505588924058
33.46,1e+30,-6.471718483441919,-3.2119673223065774,-52.24303912860694,-77.03840391489393,-55.206883146020914
34.46,1e+30,-6.5298833415054105,-3.2408350215503106,-52.71257575815298,-77.73078994938373,-55.70305740129288
35.46,1e+30,-6.539328660217393,-3.245522811361866,-52.788823243230695,-77.84322573585825,-55.783630624497164
36.46,1e+30,-6.564309022909811,-3.2579207715338043,-52.9904775633197,-78.14058831866191,-55.99672511003894
37.46,1e+30,-6.558221553518706,-3.2548995103011293,-52.941336390811784,-78.06812400865863,-55.94479611850841
38.46,1e+30,-6.562791219278779,-3.2571674732158726,-52.97822508971217,-78.12252068509349,-55.98377761693365
39.46,1e+30,-6.607467164712261,-3.2793405136650335,-53.338872272609706,-78.65433660926897,-56.36488488564703
40.46,1e+30,-6.614044042886121,-3.282604672734692,-53.39196422887767,-78.73262688410489,-56.420988914773886
41.46,1e+30,-6.639003502575065,-3.294992258450293,-53.59344979530067,-79.02974057624965,-56.63390500558097
42.46,1e+30,-6.579955818668623,-3.265686405626866,-53.116786561461936,-78.32684560210316,-56.13019993686589
43.46,1e+30,-6.561163450263166,-3.256359598029235,-52.965084903172965,-78.10314396616627,-55.96989197256596
44.46,1e+30,-6.5900995432347145,-3.270720819797475,-53.19867191141486,-78.44759498939709,-56.21673074387502
45.46,1e+30,-6.6179130356337055,-3.2845248857263414,-53.42319672127667,-78.77868278657104,-56.453993253232284
46.46,1e+30,-6.638541083836799,-3.294762756312025,-53.58971692474256,-79.02423606242371,-56.62996041702945
47.46,1e+30,-6.620415115171909,-3.2857666884883656,-53.443394796803545,-78.80846719467866,-56.47533721748101
48.46,1e+30,-6.607213456207546,-3.2792145962105224,-53.33682422642994,-78.65131658935263,-56.362720743815316
49.46,1e+30,-6.633584873460336,-3.2923029482054744,-53.54970784945533,-78.96523806329867,-56.5876815685167
50.46,1e+30,-6.633998237499554,-3.2925081041043995,-53.55304472671787,-78.97015864381194,-56.591207705414774
51.46,1e+30,-6.569057642265875,-3.260277550838282,-53.02881089495361,-78.19711535942099,-56.03723333037044
52.46,1e+30,-6.61222424500852,-3.2817014918865652,-53.37727386954157,-78.71096420207562,-56.4054650704918
53.46,1e+30,-6.612695603223187,-3.281935430997123,-53.3810789307704,-78.7165752535351,-56.40948607445239
54.46,1e+30,-6.632241688676459,-3.2916363145149035,-53.53886497224528,-78.94924898981378,-56.57622355964793
55.46,1e+30,-6.6297846547018935,-3.290416868238708,-53.51903052774833,-78.92000079796719,-56.55526385626922
56.46,1e+30,-6.593529911661449,-3.2724233400854246,-53.22636362176024,-78.488429659193,-56.24599351735429
57.46,1e+30,-6.606920979238339,-3.2790694373502447,-53.3344631878216,-78.6478349201684,-56.36022569052858
58.46,1e+30,-6.603071673558816,-3.2771589952355953,-53.303389622082136,-78.60201338142019,-56.32738930718358
