Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,640.9,634.6011284142493,631.4749464390762,580.6272168540613,505.64635987387754,451.9139472501257
30.46,535.6397435897435,530.3753893834073,527.7626469174271,485.2660725694989,422.5999568866043,377.6924712772785
31.46,613.4620000000001,607.4327945855883,604.440450154249,555.769604138241,483.9988124469185,432.56677998058166
32.46,652.1435714285714,645.7341972237172,642.5531718823623,590.8134079037773,514.5171416558011,459.84208576656044
33.46,658.4870212765958,652.0153027931539,648.8033354708473,596.5602963422403,519.5218924273464,464.3150092813255
34.46,664.4052,657.8753166584946,654.6344816369443,601.9219058787913,524.1911159294076,468.4880585281147
35.46,665.36625,658.8269213397826,655.5813985284208,602.7925752851901,524.9493495493318,469.16571892483466
36.46,667.9079591836735,661.3436501607637,658.0857293892299,605.0952518259102,526.9546635072483,470.9579383972093
37.46,667.2885714285715,660.7303498750528,657.4754503647516,604.5341139739398,526.4659899652812,470.52119384677275
38.46,667.7535294117647,661.1907381924859,657.93357071927,604.9553456295579,526.8328249444644,470.84904732753074
39.46,672.2992307692308,665.6917636045185,662.4124230908535,609.0735508182438,530.4192142089748,474.0543293233278
40.46,672.9684210526316,666.3543770097455,663.0717723370108,609.6798081081331,530.9471812240282,474.52619230925427
41.46,675.508,668.868996497425,665.5740042389747,611.980554443674,532.9508138674244,476.3169088618434
42.46,669.5,662.9200441813314,659.6543577757045,606.5375712142426,528.2107256121394,472.0805256752735
43.46,667.5879069767442,661.026743526481,657.7703839284518,604.8052990252788,526.7021550591126,470.7322630865466
44.46,670.532105263158,663.9420057199233,660.6712849001258,607.4726129887109,529.0250179993138,472.80828725543876
45.46,673.3620833333333,666.7441702976996,663.4596454119733,610.0364486906966,531.2577659041256,474.8037726508933
46.46,675.4609523809524,668.8224112971157,665.5276485408036,611.9379316160611,532.9136955536374,476.2837351366079
47.46,673.6166666666667,666.9962515514948,663.7104848630064,610.2670900662029,531.4586228715242,474.9832856540432
48.46,672.2734210526315,665.666207596424,662.3869930002135,609.0501687737835,530.3988521844309,474.0361314406156
49.46,674.9566666666667,668.3230817932064,665.0307788450009,611.4810709955456,532.5158329322469,475.9281513637302
50.46,674.9987234042553,668.3647251667558,665.0722170626514,611.5191723359335,532.5490136921215,475.95780598670683
51.46,668.3911320754718,661.8220744332059,658.5617968823676,605.532985987414,527.335870627993,471.2986372976226
52.46,672.7832558139535,666.171031568945,662.8893300770584,609.5120562075168,530.8010920054412,474.3956269349494
53.46,672.8312195121952,666.218523908972,662.9365884779749,609.5555095472045,530.8389342936694,474.42944821921697
54.46,674.82,668.1877583113236,664.8961219968087,611.3572570245634,532.4080080347496,475.8317844751017
55.46,674.57,667.9402153452982,664.6497984770594,611.1307679493111,532.2107671513439,475.6555032950747
56.46,670.8811428571429,664.2876129454814,661.015189605396,607.7888259836358,529.3003963244428,473.0544028070885
57.46,672.2436585365854,665.636737557347,662.3576681199968,609.0232049321752,530.3753700120068,474.0151443214782
58.46,671.852,665.2489283264412,661.9717693312056,608.6683797091234,530.0663663277032,473.73897702051966
59.46,673.34,666.7223039575113,663.4378867674428,610.016441745349,531.2403421017169,474.78820001676735
60.46,666.3468421052631,659.7978760524969,656.5475701235323,603.6809488809627,525.723000960257,469.85715865664065
61.46,665.6282352941176,659.086331848771,655.8395311501063,603.0299228968996,525.1560471947731,469.35045228857484
62.46,674.8957894736842,668.2628028749691,664.970796855594,611.4259186026148,532.4678023857298,475.8852244790118
63.46,675.3369767441861,668.6996541189351,665.4054960936594,611.8256151907415,532.8158834726988,476.1963170816621
64.46000000000001,672.8042222222223,666.1917920190048,662.9099883079772,609.5310517949289,530.8176356969477,474.4104134496281
65.46000000000001,683.4953846153846,676.7778797430584,673.4439266067507,619.2167734101938,539.2525639280979,481.9490044453705
66.46000000000001,678.2623809523809,671.5963069836188,668.2878794291163,614.4759028946877,535.1239193106372,478.2590900563714
67.46000000000001,671.5906060606061,664.9901034539273,661.714219507634,608.431568695854,529.8601370305842,473.5546629949773
68.46000000000001,674.3576190476191,667.7299217364786,664.440540833979,610.9383604047347,532.0432069881762,475.50574910952014
69.46000000000001,678.5794871794872,671.9102965801876,668.600322216431,614.7631866622187,535.3741032705066,478.48268779716324
70.46000000000001,671.3916279069766,664.793080832417,661.5181674330755,608.2513027061136,529.7031495249495,473.41435726481836
71.46000000000001,663.7891891891892,657.2653601845652,654.0275299801001,601.3638279082036,523.7051077548085,468.05369656923324
72.46000000000001,665.1295,658.5924981170648,655.348130104631,602.5780898208669,524.7625617846919,468.9987797936427
73.46000000000001,661.1384210526315,654.640644190214,651.4157438792015,598.9623481117667,521.613748984736,466.1845752532109
74.46000000000001,658.9425,652.4663050104768,649.2521159611882,596.9729401681891,519.8812485440498,464.63617860659224
75.46000000000001,658.6289130434783,652.1558000313585,648.9431405929286,596.6888441089462,519.633839912395,464.4150607465266
76.46000000000001,659.0636363636363,652.5862508221129,649.3714708920504,597.0826843528074,519.9768205768917,464.7215946657956
77.46000000000001,660.7085714285714,654.2150191417528,650.9922155227048,598.5729227253938,521.2746124474448,465.88147652580875
78.46000000000001,654.43,647.9981544924755,644.8059764577108,592.8848125314963,516.3210509572638,461.45430377961816
79.46000000000001,631.569090909091,625.3619262459256,622.2812591691833,572.1738345087163,498.2846411649378,445.33452986881406
80.46000000000001,605.6051724137931,599.6531854364165,596.699165152083,548.6516659601637,477.8000709362103,427.0267484112014
81.46000000000001,582.5028124999999,576.7778791321516,573.9365474297224,527.721941789442,459.5731605392892,410.7367153516009
82.46000000000001,532.6043902439026,527.3698664384791,524.7719290525216,482.51616168413113,420.20514578628865,375.5521317150244
83.46000000000001,401.6877777777777,397.73992415933435,395.7805718107195,363.9114676522127,316.9167877202892,283.2396909444572
84.46000000000001,230.7537837837838,228.4858980031691,227.36032756263333,209.05278736337985,182.05620143724025,162.71004015974782
85.46000000000001,105.05428571428571,104.0217957060271,103.50936238657388,95.17457185819025,82.88395819097977,74.0763181023322
86.46000000000001,106.76540540540549,105.71609687839994,105.19531639422269,96.7247586989528,84.23394242302092,75.28283558317673
87.46000000000001,5.202000000000013,5.150874457988491,5.125500427237735,4.712788529589929,4.104196355374704,3.6680694065739265
88.46000000000001,0.34,0.3400000573217048,0.3400000857560661,0.3400005467639842,0.34000122066778127,0.3400016981887296
