Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.5000000132879777,-0.5000000127588063,18.75,21.25
18.95,0.4999999215160063,-0.5000000158387553,21.25,23.75
19.15,0.4999998354964278,-0.5000000128437113,23.75,26.25
19.35,0.5000000590830916,-0.5000000108715391,26.25,28.75
19.55,0.5000000651849321,-0.5000000140058366,28.75,31.25
19.75,0.4999999681035053,-0.5000000135546658,31.25,33.75
19.95,0.5000000143082918,-0.5000000125410601,33.75,36.25
20.15,0.499999952941201,-0.5000000133339014,36.25,38.75
20.35,0.4999998418102459,-0.5000000122293233,38.75,41.25
20.55,0.4999999104530106,-0.5000000140020977,41.25,43.75
20.75,0.4999997268365568,-0.5000000120319346,43.75,46.25
20.95,0.4999998347756055,-0.5000000160904085,46.25,48.75
21.15,0.5382859410761943,-0.4953393639509611,48.75,51.25
21.35,0.5000001627180655,-0.5000000119085892,51.25,53.75
21.55,0.5000001521459194,-0.5000000130594849,53.75,56.25
21.75,0.5000001221400792,-0.5000000153559253,56.25,58.75
21.95,0.4999999893171082,-0.5000000105970708,58.75,61.25
22.15,0.4999996407385963,-0.5000000123144747,61.25,63.75
22.35,0.4999999479967455,-0.5000000124357717,63.75,66.25
22.55,0.4999998873623857,-0.5000000147874301,66.25,68.75
22.75,0.5000000980481406,-0.5000000140030562,68.75,71.25
22.95,0.5000001633735066,-0.5000000154092084,71.25,73.75
23.15,0.5000001736651047,-0.5000000151479419,71.25,73.75
23.35,0.5000001052558017,-0.5000000120329792,71.25,73.75
23.55,1.2576098597714531,-0.382146307040556,71.25,73.75
23.75,0.4999998802737476,-0.5000000141636068,71.25,73.75
23.95,0.5000000589711062,-0.5000000131297752,71.25,73.75
24.15,0.4999998369339611,-0.5000000136113011,71.25,73.75
24.35,0.4999999566233626,-0.5000000155552496,71.25,73.75
24.55,0.5000000913482102,-0.500000012064675,71.25,73.75
24.75,0.4999999667298474,-0.5000000143014987,71.25,73.75
24.95,0.4999999824353271,-0.5000000119985836,71.25,73.75
25.15,0.5000001331089312,-0.5000000138694997,71.25,73.75
25.35,0.5000001963915375,-0.500000012611247,71.25,73.75
25.55,0.5000002899938508,-0.5000000138506935,71.25,73.75
25.75,0.5000001225683232,-0.5000000121987191,71.25,73.75
25.95,0.4999999827920121,-0.5000000123452641,71.25,73.75
26.15,0.9904095569298166,-0.3795411669921349,71.25,73.75
26.35,0.4999997410740477,-0.5000000090117979,71.25,73.75
26.55,0.4999999712876417,-0.5000000126604531,71.25,73.75
26.75,0.5000000816757812,-0.5000000120204317,71.25,73.75
26.95,0.4999998490188371,-0.5000000146867114,71.25,73.75
27.15,0.5000000498865408,-0.500000014896982,71.25,73.75
27.35,0.4999997911349576,-0.5000000139609146,71.25,73.75
27.55,0.5050001166644568,-0.5000000144832124,71.25,73.75
27.75,0.5000000868519743,-0.500000012813098,71.25,73.75
27.95,0.5000000505177673,-0.5000000116797332,71.25,73.75
28.15,0.4999998634427234,-0.5000000137068743,71.25,73.75
28.35,0.4999998965143385,-0.5000000131401877,71.25,73.75
28.55,0.8415602418495594,-0.3966367193380185,71.25,73.75
28.75,0.5000000396742281,-0.5000000148466645,71.25,73.75
28.95,0.5000000099293852,-0.5000000134032949,71.25,73.75
29.15,0.4999999608874663,-0.5000000118692056,71.25,73.75
29.35,0.4999999978644201,-0.5000000126383941,71.25,73.75
29.55,0.5000000494828171,-0.5000000133931211,71.25,73.75
29.75,0.4999999801502524,-0.5000000127264889,71.25,73.75
29.95,0.5000001764861397,-0.5000000139899802,71.25,73.75
30.15,0.4999998437613248,-0.5000000115578802,71.25,73.75
30.35,0.5000001381074918,-0.5000000129551894,71.25,73.75
30.55,0.4999997934290272,-0.5000000125052699,71.25,73.75
30.75,0.4999999720292933,-0.5000000123065625,71.25,73.75
30.95,0.4999999332429441,-0.5000000112217997,71.25,73.75
31.15,0.7133664276419648,-0.4208506077753816,71.25,73.75
31.35,0.5000001922773954,-0.5000000139256437,71.25,73.75
31.55,0.5000001188747213,-0.5000000132834628,71.25,73.75
31.75,0.4999997252087461,-0.5000000128018471,71.25,73.75
31.95,0.4999999184695911,-0.5000000123686876,71.25,73.75
32.15,0.5000000307462216,-0.5000000135874891,71.25,73.75
32.35,0.4999998981738205,-0.5000000128362447,71.25,73.75
32.55,0.5000002222250338,-0.5000000137080021,71.25,73.75
32.75,0.4999999033030824,-0.500000015289426,71.25,73.75
32.95,0.5000001054535324,-0.5000000131135686,71.25,73.75
33.15,0.5000000451517566,-0.5000000133817872,71.25,73.75
33.35,0.4999998139726339,-0.5000000132429026,71.25,73.75
33.55,0.5799074276053323,-0.4371774838311138,71.25,73.75
33.75,0.5000000597833575,-0.5000000124707425,71.25,73.75
33.95,0.500000031878908,-0.5000000127029904,71.25,73.75
34.15,0.4999997390201492,-0.5000000128956402,71.25,73.75
34.35,0.500000048668403,-0.500000014015134,71.25,73.75
34.55,0.4999998842525859,-0.5000000117077364,71.25,73.75
34.75,0.4999997715867045,-0.5000000144699596,71.25,73.75
34.95,0.4999998741884782,-0.5000000116231818,71.25,73.75
35.15,0.4999999955155238,-0.5000000106718567,71.25,73.75
35.35,0.5000001070337298,-0.5000000114573881,71.25,73.75
35.55,0.4999999529519131,-0.5000000135303294,71.25,73.75
35.75,0.4999999839303,-0.5000000119712052,71.25,73.75
35.95,0.5000000688191847,-0.500000011332679,71.25,73.75
36.15,0.3733704815441204,-0.4425935255045427,71.25,73.75
36.35,0.5000000427385218,-0.5000000094927726,71.25,73.75
36.55,0.4999996245649047,-0.5000000131645863,71.25,73.75
36.75,0.5000000916522,-0.5000000125346818,71.25,73.75
36.95,0.499999818993407,-0.5000000121925776,71.25,73.75
37.15,0.4999999166043814,-0.5000000142725768,71.25,73.75
37.35,0.499999934039242,-0.5000000135938762,71.25,73.75
37.55,0.4999998664144122,-0.500000015373314,71.25,73.75
37.75,0.5000000459420832,-0.5000000139521583,71.25,73.75
37.95,0.5000001106584536,-0.5000000111441207,71.25,73.75
38.15,0.5000000552412457,-0.500000015964649,71.25,73.75
38.35,0.4999998554663552,-0.5000000109622861,71.25,73.75
38.55,4.195834174799392,-1.5573820574797,71.25,73.75
38.75,0.5000001211687435,-0.5000000109325476,71.25,73.75
38.95,0.500000120784607,-0.500000011737662,71.25,73.75
39.15,0.4999998454453631,-0.5000000128119823,71.25,73.75
39.35,0.4999998952786089,-0.5000000148517791,71.25,73.75
39.55,0.5000000464247712,-0.5000000160343336,71.25,73.75
39.75,0.5000000851223119,-0.5000000139165641,71.25,73.75
39.95,0.4999997723438897,-0.5000000136528147,71.25,73.75
