Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,496.2434211254229,463.62780536648023,413.79706248983666,342.0493710877889,282.4914644283914,233.14689979460377,158.58193864840152,49.606537528028966
21.25,491.2760647646919,419.8331839979537,324.6202309301441,213.92209644533747,142.81143178338596,96.48396230241799,45.57958501931775,6.375915744825966
23.75,493.09904548606573,434.26962488101344,349.3328837447424,240.78990870699653,165.13429929011616,113.15603517550088,53.492581412749985,6.5469412094970645
26.25,494.12986323871394,443.4590026227826,367.61638776347814,264.4400708705731,187.34202706560794,131.43211185359837,63.77088188120398,7.544308234421495
28.75,495.0172712870693,451.42699769617485,383.9368300988259,286.782618429775,209.5085100147039,150.60283393546453,75.48245240586142,8.972604053088393
31.25,495.9432251504709,459.4612573780407,398.90996525931376,306.0048140132822,228.81192738278716,167.87716323816653,86.77744564823362,10.532159530618511
33.75,497.1824875486693,461.6700652830101,395.6145688858674,301.6403007080352,227.32770146745267,168.81746818726666,89.2846514387071,11.09096616009189
36.25,472.402460059528,325.6155845307812,231.43139255330172,161.3591711565219,118.90419252911998,88.04391690929512,47.03153073896775,5.973769667618491
38.75,496.0411565075521,414.9633165559268,294.0798643973091,190.52576419103565,135.42892935440582,99.02885488778622,53.00171026190284,6.8930134363380295
41.25,497.340541321579,457.8481462046883,356.8231591391906,230.40414300125485,158.68059764251427,113.81764113837815,60.44923650081932,8.050705935019362
43.75,497.6182781621248,472.70697018387426,403.241187692966,276.15799755898223,188.9131346902304,133.27152994388032,69.72352597019446,9.479165298563736
46.25,497.9402743860904,478.19394340784885,430.4696253125129,319.48718187653566,223.430491713813,156.80983551939764,80.73007859552554,11.151006403700833
48.75,498.45992524011916,477.63316328246566,433.72251305612645,341.80562307446047,248.53036631412095,176.0979187061954,89.88348146960834,12.56700544554464
51.25,485.4419519757004,400.7794910576903,335.24052137713073,265.19925013370965,200.32785414805628,145.5496714597778,75.1854768775678,10.714662787653847
53.75,498.3657484722189,460.79942744941457,389.6468821645029,305.7065010413872,237.8771987105428,178.69611954922658,95.55365385796132,14.141987852811543
56.25,498.629313167232,481.9899730686818,435.7070572064784,353.24420089704347,282.7404590112797,220.80706345827426,125.76426073671743,20.21381576110074
58.75,498.55437325665736,485.3881000147269,457.6480055494116,395.35611147539424,330.05848900144974,269.02473189459397,166.8448126966469,31.10562092149855
61.25,498.55065417670534,485.6875998099178,463.8704128805548,420.5011606324144,369.20597654402684,315.7215202139901,215.82353441086406,50.01166929348846
63.75,498.577547169117,485.9370989976162,465.407233303967,430.72442555747114,392.57591644683293,350.9239796517995,264.5489700823672,80.27036598314892
66.25,498.6076886213648,486.22787726231985,466.1857726010366,434.1002529488904,402.5009751017856,370.1373007060315,302.21809967939157,122.48148705436385
68.75,498.5918017899687,486.07904624916455,465.85802890205275,433.84059133899984,403.68374873210485,374.9243073181436,319.68060296296153,167.15183679934074
71.25,496.85473450172924,469.4957152289645,427.474059306739,366.2937070952975,314.6133931172648,270.8867602298444,202.3010002679703,88.05672974399359
