Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.02750438640806257,0.02751447344437751,18.75,21.25
18.95,0.027504381359799174,0.027514473613863857,21.25,23.75
19.15,0.02750437662796785,0.027514473449049743,23.75,26.25
19.35,0.02750438892719552,0.027514473340523187,26.25,28.75
19.55,0.027504389262850266,0.027514473513000275,28.75,31.25
19.75,0.027504383922520255,0.02751447348817282,31.25,33.75
19.95,0.027504386464188794,0.027514473432395166,33.75,36.25
20.15,0.027504383088460524,0.027514473476024388,36.25,38.75
20.35,0.02750437697528323,0.02751447341524062,38.75,41.25
20.55,0.027504380751237376,0.027514473512794523,41.25,43.75
20.75,0.02750437065072185,0.027514473404378525,43.75,46.25
20.95,0.0275043765883163,0.027514473627712064,46.25,48.75
21.15,0.02961044825584854,0.027258002855207974,48.75,51.25
21.35,0.0275043946280281,0.02751447339759096,51.25,53.75
21.55,0.027504394046467335,0.02751447346092354,53.75,56.25
21.75,0.027504392395882926,0.02751447358729423,56.25,58.75
21.95,0.027504385089454488,0.027514473325419484,58.75,61.25
22.15,0.02750436591457883,0.027514473419926407,61.25,63.75
22.35,0.027504382816472106,0.02751447342660126,63.75,66.25
22.55,0.02750437948105047,0.027514473556010534,66.25,68.75
22.75,0.02750439107061499,0.027514473512847266,68.75,71.25
22.95,0.027504394664083113,0.02751447359022634,71.25,73.75
23.15,0.02750439523021128,0.027514473575849123,71.25,73.75
23.35,0.027504391467099574,0.027514473404436007,71.25,73.75
23.55,0.0691795732289736,0.02102910829725599,71.25,73.75
23.75,0.027504379091113196,0.027514473521682202,71.25,73.75
23.95,0.02750438892103534,0.027514473464791536,71.25,73.75
24.15,0.02750437670704479,0.0275144734912894,71.25,73.75
24.35,0.02750438329101171,0.02751447359826284,71.25,73.75
24.55,0.027504390702060053,0.027514473406180198,71.25,73.75
24.75,0.027504383846957026,0.027514473529270243,71.25,73.75
24.95,0.027504384710896165,0.027514473402543253,71.25,73.75
25.15,0.027504392999266002,0.027514473505497794,71.25,73.75
25.35,0.02750439648036442,0.027514473436257483,71.25,73.75
25.55,0.027504401629312676,0.02751447350446291,71.25,73.75
25.75,0.027504392419440107,0.027514473413556506,71.25,73.75
25.95,0.02750438473051697,0.027514473421620722,71.25,73.75
26.15,0.05448121286418115,0.020885750187551812,71.25,73.75
26.35,0.027504371433908735,0.02751447323818359,71.25,73.75
26.55,0.027504384097675687,0.027514473438965237,71.25,73.75
26.75,0.027504390169991615,0.02751447340374553,71.25,73.75
26.95,0.02750437737181897,0.027514473550468096,71.25,73.75
27.15,0.027504388421304555,0.027514473562039066,71.25,73.75
27.35,0.027504374187697883,0.027514473510528263,71.25,73.75
27.55,0.02750439203113539,0.02751447353926976,71.25,73.75
27.75,0.027504390454727634,0.02751447344736513,71.25,73.75
27.95,0.027504388456027554,0.027514473384997254,71.25,73.75
28.15,0.027504378165259233,0.027514473496548692,71.25,73.75
28.35,0.02750437998448815,0.027514473465364526,71.25,73.75
28.55,0.046293194924699854,0.021826500405621667,71.25,73.75
