Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.50000001328797771815715123011614196002,-0.50000001275880645579263727995567023754,18.75,21.25
18.95,0.49999992151600630707619643544603604823,-0.50000001583875530730693981240619905293,21.25,23.75
19.15,0.49999983549642784685929086663236375898,-0.50000001284371131671235843896283768117,23.75,26.25
19.35,0.50000005908309164137648394898860715330,-0.50000001087153911338845091449911706150,26.25,28.75
19.55,0.50000006518493211871145831537432968616,-0.50000001400583660160492627255734987557,28.75,31.25
19.75,0.49999996810350538778422446739568840712,-0.50000001355466583419229209539480507374,31.25,33.75
19.95,0.50000001430829188464599610597360879183,-0.50000001254106019032974472793284803629,33.75,36.25
20.15,0.49999995294120103128676646520034410059,-0.50000001333390142743695605531684122980,36.25,38.75
20.35,0.49999984181024598184350793417252134532,-0.50000001222932333178050612332299351692,38.75,41.25
20.55,0.49999991045301062086991805699653923512,-0.50000001400209770352489613287616521120,41.25,43.75
20.75,0.49999972683655685701253901243035215884,-0.50000001203193467080865275420364923775,43.75,46.25
20.95,0.49999983477560555611418635635345708579,-0.50000001609040845007569942026748321950,46.25,48.75
21.15,0.53828594107619431863298586904420517385,-0.49533936395096112015323797095334157348,48.75,51.25
21.35,0.50000016271806557721646413483540527523,-0.50000001190858922583970525010954588652,51.25,53.75
21.55,0.50000015214591941870025948446709662676,-0.50000001305948493790509701284463517368,53.75,56.25
21.75,0.50000012214007927280334797615068964660,-0.50000001535592530910179220882127992809,56.25,58.75
21.95,0.49999998931710826211016751585702877492,-0.50000001059707088746364433973212726414,58.75,61.25
22.15,0.49999964073859631819019000431580934674,-0.50000001231447477323399652959778904915,61.25,63.75
22.35,0.49999994799674557510726913278631400317,-0.50000001243577174570020815735915675759,63.75,66.25
22.55,0.49999988736238576425563451266498304904,-0.50000001478743016924966013903031125665,66.25,68.75
22.75,0.50000009804814060654365448499447666109,-0.50000001400305627008435749303316697478,68.75,71.25
22.95,0.50000016337350661199678825141745619476,-0.50000001540920846476723227169713936746,71.25,73.75
23.15,0.50000017366510474126073404477210715413,-0.50000001514794190082824343335232697427,71.25,73.75
23.35,0.50000010525580174114423925857408903539,-0.50000001203297927965252256399253383279,71.25,73.75
23.55,1.25760985977145312020297751587349921465,-0.38214630704055607690605711468379013240,71.25,73.75
23.75,0.49999988027374769883337535247846972197,-0.50000001416360684292072846801602281630,71.25,73.75
23.95,0.50000005897110622044010597164742648602,-0.50000001312977526701786246121628209949,71.25,73.75
24.15,0.49999983693396116146701047000533435494,-0.50000001361130119725828535592881962657,71.25,73.75
24.35,0.49999995662336266244452076534798834473,-0.50000001555524964391707953836885280907,71.25,73.75
24.55,0.50000009134821021827832510098232887685,-0.50000001206467503678254615806508809328,71.25,73.75
24.75,0.49999996672984742263068369538814295083,-0.50000001430149865200291969813406467438,71.25,73.75
24.95,0.49999998243532717268067244731355458498,-0.50000001199858368217121551424497738481,71.25,73.75
