,parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
in_inst:0_usecol:1_direct_idx0:40.0,in_inst:0_usecol:1_direct_idx0:40.0,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:40.0,out_inst:0_usecol:2_direct_idx0:40.0,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:40.2,in_inst:0_usecol:1_direct_idx0:40.2,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:40.2,out_inst:0_usecol:2_direct_idx0:40.2,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:40.4,in_inst:0_usecol:1_direct_idx0:40.4,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:40.4,out_inst:0_usecol:2_direct_idx0:40.4,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:40.6,in_inst:0_usecol:1_direct_idx0:40.6,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:40.6,out_inst:0_usecol:2_direct_idx0:40.6,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:40.8,in_inst:0_usecol:1_direct_idx0:40.8,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:40.8,out_inst:0_usecol:2_direct_idx0:40.8,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:41.0,in_inst:0_usecol:1_direct_idx0:41.0,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:41.0,out_inst:0_usecol:2_direct_idx0:41.0,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:41.2,in_inst:0_usecol:1_direct_idx0:41.2,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:41.2,out_inst:0_usecol:2_direct_idx0:41.2,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:41.4,in_inst:0_usecol:1_direct_idx0:41.4,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:41.4,out_inst:0_usecol:2_direct_idx0:41.4,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:41.6,in_inst:0_usecol:1_direct_idx0:41.6,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:41.6,out_inst:0_usecol:2_direct_idx0:41.6,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:41.8,in_inst:0_usecol:1_direct_idx0:41.8,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:41.8,out_inst:0_usecol:2_direct_idx0:41.8,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:42.0,in_inst:0_usecol:1_direct_idx0:42.0,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:42.0,out_inst:0_usecol:2_direct_idx0:42.0,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:42.2,in_inst:0_usecol:1_direct_idx0:42.2,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:42.2,out_inst:0_usecol:2_direct_idx0:42.2,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:42.4,in_inst:0_usecol:1_direct_idx0:42.4,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:42.4,out_inst:0_usecol:2_direct_idx0:42.4,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:42.6,in_inst:0_usecol:1_direct_idx0:42.6,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:42.6,out_inst:0_usecol:2_direct_idx0:42.6,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:42.8,in_inst:0_usecol:1_direct_idx0:42.8,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:42.8,out_inst:0_usecol:2_direct_idx0:42.8,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:43.0,in_inst:0_usecol:1_direct_idx0:43.0,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:43.0,out_inst:0_usecol:2_direct_idx0:43.0,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:43.2,in_inst:0_usecol:1_direct_idx0:43.2,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:43.2,out_inst:0_usecol:2_direct_idx0:43.2,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:43.4,in_inst:0_usecol:1_direct_idx0:43.4,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
out_inst:0_usecol:2_direct_idx0:43.4,out_inst:0_usecol:2_direct_idx0:43.4,log,factor,,1e-08,100000000.0,out_flows,1.0,0.0,1
in_inst:0_usecol:1_direct_idx0:43.6,in_inst:0_usecol:1_direct_idx0:43.6,log,factor,0.0,1e-08,100000000.0,in_flows,1.0,0.0,1
